"","fat","rating"
"4415",0.16,8
"4416",0.16,8
"4417",0.16,8
"451",0.16,9
"454",0.16,9
"455",0.16,9
"471",0.2,2
"481",0.2,3
"482",0.2,3
"483",0.2,3
"491",0.2,4
"492",0.2,4
"493",0.2,4
"494",0.2,4
"495",0.2,4
"496",0.2,4
"497",0.2,4
"498",0.2,4
"501",0.2,5
"502",0.2,5
"503",0.2,5
"511",0.2,6
"512",0.2,6
"513",0.2,6
"514",0.2,6
"515",0.2,6
"517",0.2,6
"518",0.2,6
"519",0.2,6
"5110",0.2,6
"5111",0.2,6
"5112",0.2,6
"5113",0.2,6
"521",0.2,7
"522",0.2,7
"523",0.2,7
"524",0.2,7
"526",0.2,7
"527",0.2,7
"528",0.2,7
"529",0.2,7
"5210",0.2,7
"5211",0.2,7
"5212",0.2,7
"5213",0.2,7
"5214",0.2,7
"531",0.2,8
"532",0.2,8
"533",0.2,8
"534",0.2,8
"535",0.2,8
"536",0.2,8
"537",0.2,8
"538",0.2,8
"539",0.2,8
"5310",0.2,8
"5311",0.2,8
"541",0.2,9
"542",0.2,9
"543",0.2,9
"544",0.2,9
"545",0.2,9
"548",0.2,9
"551",0.24,1
"56",0.24,2
"561",0.24,2
"562",0.24,2
"563",0.24,2
"564",0.24,2
"57",0.24,3
"571",0.24,3
"572",0.24,3
"573",0.24,3
"58",0.24,4
"581",0.24,4
"582",0.24,4
"583",0.24,4
"584",0.24,4
"585",0.24,4
"586",0.24,4
"587",0.24,4
"588",0.24,4
"589",0.24,4
"5810",0.24,4
"5811",0.24,4
"5812",0.24,4
"5813",0.24,4
"59",0.24,5
"591",0.24,5
"60",0.24,6
"601",0.24,6
"602",0.24,6
"603",0.24,6
"604",0.24,6
"605",0.24,6
"606",0.24,6
"607",0.24,6
"608",0.24,6
"609",0.24,6
"6010",0.24,6
"6011",0.24,6
"6012",0.24,6
"611",0.24,7
"612",0.24,7
"613",0.24,7
"614",0.24,7
"615",0.24,7
"616",0.24,7
"617",0.24,7
"618",0.24,7
"619",0.24,7
"6110",0.24,7
"6111",0.24,7
"6112",0.24,7
"6113",0.24,7
"621",0.24,8
"622",0.24,8
"623",0.24,8
"624",0.24,8
"625",0.24,8
"626",0.24,8
"627",0.24,8
"631",0.24,9
"632",0.24,9
"641",0.28,1
"642",0.28,1
"643",0.28,1
"644",0.28,1
"651",0.28,2
"652",0.28,2
"653",0.28,2
"655",0.28,2
"656",0.28,2
"661",0.28,3
"662",0.28,3
"664",0.28,3
"665",0.28,3
"666",0.28,3
"667",0.28,3
"668",0.28,3
"67",0.28,4
"671",0.28,4
"672",0.28,4
"673",0.28,4
"674",0.28,4
"675",0.28,4
"676",0.28,4
"677",0.28,4
"678",0.28,4
"6710",0.28,4
"68",0.28,5
"681",0.28,5
"682",0.28,5
"683",0.28,5
"684",0.28,5
"69",0.28,6
"691",0.28,6
"692",0.28,6
"693",0.28,6
"694",0.28,6
"695",0.28,6
"697",0.28,6
"698",0.28,6
"70",0.28,7
"701",0.28,7
"702",0.28,7
"703",0.28,7
"704",0.28,7
"705",0.28,7
"706",0.28,7
"712",0.28,8
"713",0.28,8
"714",0.28,8
"715",0.28,8
"716",0.28,8
"717",0.28,8
"718",0.28,8
"721",0.28,9
"722",0.28,9
"723",0.28,9
