year mon hbfin hbfrbn hbpun
1995 10 835.2 378.2 3684.209
1996 1 908.1 377.1 3764.019
1996 4 929.7 383.9 3738.633
1996 7 993.4 383.9 3777.808
1996 10 1102.1 390.9 3825.994
1997 1 1157.6 395.1 3874.106
1997 4 1182.7 410.9 3804.568
1997 7 1230.5 411.8 3816.381
1997 10 1241.6 430.7 3846.706
1998 1 1250.5 433.2 3872.048
1998 4 1256 439.8 3790.379
1998 7 1224.2 446 3762.333
1998 10 1278.7 452.1 3787.391
1999 1 1272.3 465.7 3794.549
1999 4 1258.8 484.9 3685.167
1999 7 1281.4 489 3667.597
1999 10 1268.7 478 3715.531
2000 1 1085 501.7 3687.974
2000 4 1060.7 504.9 3495.713
2000 7 1038.8 511.4 3438.416
2000 10 1015.2 511.7 3413.541
2001 1 1012.5 523.9 3434.386
2001 4 983.3 535.1 3274.176
2001 7 992.2 534.1 3338.707
2001 10 1040.1 551.7 3393.758
2002 1 1057.2 575.4 3443.674
2002 4 1123.1 590.7 3463.544
2002 7 1188.6 604.2 3552.588
2002 10 1235.6 629.4 3647.385
2003 1 1275.2 641.5 3710.779
2003 4 1371.9 652.1 3816.279
2003 7 1443.3 656.1 3924.045
2003 10 1523.1 666.7 4044.054
2004 1 1670 674.1 4176.667
2004 4 1735.4 687.4 4218.734
2004 7 1794.5 700.3 4303.366
2004 10 1849.3 717.8 4406.352
2005 1 1952.2 717.3 4572.397
2005 4 1877.5 724.7 4527.63
2005 7 1929.6 736.4 4601.378
2005 10 2033.9 744.2 4714.607
2006 1 2082.1 758.5 4872.804
2006 4 1977.8 766.4 4797.45
2006 7 2025.3 768.9 4843.208
2006 10 2103.1 778.9 4901.208
2007 1 2194.8 780.9 5054.278
2007 4 2192 790.5 4943.033
2007 7 2235.3 779.6 5049.242
2007 10 2353.2 740.6 5136.288
2008 1 2506.3 591.2 5334.048
2008 4 2587.4 478.8 5285.025
2008 7 2802.4 476.6 5814.24
2008 10 3077.2 475.9 6372.651
2009 1 3265.7 492.3 6836.338
2009 4 3460.8 656.5 7176.464
2009 7 3570.6 769.2 7554.537
2009 10 3685.1 776.6 7814.359
2010 1 3877.9 776.7 8294.251
2010 4 4070 777 8639.22
2010 7 4324.2 811.7 9027.611
2010 10 4435.6 1021.5 9395.411
2011 1 4477.6 1340.4 9656.573
2011 4 4690.7 1619.5 9746.879
2011 7 4904.6 1664.7 10132.04
2011 10 4996 1663.4 10452.5
2012 1 5147.5 1661.1 10876.39
2012 4 5311 1659.9 11048.22
2012 7 5455 1645.3 11274.4
