ID.No,Survived,Cabin,Gender,Age,Home_Country,ESC,Nat_Group
56,0,third,female,11,Sweden,0,European
353,1,first,male,11,USA,1,American
773,0,third,male,11,England,1,British
971,0,third,male,11,Lebanon,0,Ottoman
1465,1,third,male,11,Lebanon,0,Ottoman
1866,0,third,male,11,Sweden,0,European
164,1,second,female,12,India,1,OES
2111,1,second,female,12,Scotland,1,British
1175,0,third,female,12,France,0,European
1772,0,third,male,12,England,1,British
351,1,first,female,13,USA,1,American
1350,1,second,female,13,England,1,British
1761,1,first,male,13,USA,1,American
82,0,third,male,13,Sweden,0,European
1442,1,second,female,14,Lebanon,0,Ottoman
1774,0,third,female,14,England,1,British
1466,1,third,female,14,Lebanon,0,Ottoman
2075,0,third,female,14,Sweden,0,European
1968,0,second,male,14,England,1,British
767,0,third,male,14,England,1,British
1548,0,third,male,14,Finland,0,European
1964,1,third,male,14,Sweden,0,European
3,0,third,male,14,USA,1,American
276,1,second,female,15,South Africa,1,OES
2206,1,third,female,15,Lebanon,0,Ottoman
97,1,third,female,15,Lebanon,0,Ottoman
1433,1,third,female,15,Lebanon,0,Ottoman
2066,0,third,male,15,Belgium,0,European
42,0,third,male,15,England,1,British
1790,0,third,male,15,Lebanon,0,Ottoman
624,0,third,male,15,Lebanon,0,Ottoman
1208,1,first,female,16,France,0,European
1249,1,first,female,16,USA,1,American
771,0,third,female,16,England,1,British
477,1,third,female,16,England,1,British
457,1,third,female,16,Ireland,1,Irish
1499,1,third,female,16,Ireland,1,Irish
1327,1,third,female,16,Ireland,1,Irish
2007,1,third,female,16,Lebanon,0,Ottoman
6,1,third,female,16,Norway,0,European
990,0,third,female,16,Syria,0,Ottoman
726,0,second,male,16,England,1,British
1418,0,second,male,16,England,1,British
535,0,third,male,16,Belgium,0,European
1777,0,third,male,16,England,1,British
1752,0,third,male,16,England,1,British
688,0,third,male,16,England,1,British
1547,0,third,male,16,Finland,0,European
1491,0,third,male,16,Ireland,1,Irish
1153,0,third,male,16,Ireland,1,Irish
2006,0,third,male,16,Lebanon,0,Ottoman
621,0,third,male,16,Sweden,0,European
1521,0,third,male,16,Sweden,0,European
1656,0,third,male,16,Unknown,0,Other
5,0,third,male,16,USA,1,American
558,1,first,female,17,Canada,1,OES
915,1,first,female,17,USA,1,American
979,1,second,female,17,England,1,British
1843,1,second,female,17,Finland,0,European
1177,1,second,female,17,Switzerland,0,European
52,1,third,female,17,Finland,0,European
299,0,third,female,17,Ireland,1,Irish
837,0,third,female,17,Ireland,1,Irish
1901,1,third,female,17,Ireland,1,Irish
751,1,third,female,17,Ireland,1,Irish
92,0,third,female,17,Lebanon,0,Ottoman
346,0,first,male,17,Uruguay,0,Other
1995,1,first,male,17,USA,1,American
59,0,second,male,17,Argentina,0,Other
323,0,third,male,17,Croatia,0,European
324,0,third,male,17,Croatia,0,European
490,0,third,male,17,Croatia,0,European
560,0,third,male,17,Croatia,0,European
1632,0,third,male,17,Croatia,0,European
1014,0,third,male,17,Denmark,0,European
523,0,third,male,17,England,1,British
1769,0,third,male,17,England,1,British
1058,0,third,male,17,Finland,0,European
1489,0,third,male,17,Ireland,1,Irish
1788,0,third,male,17,Lebanon,0,Ottoman
625,0,third,male,17,Lebanon,0,Ottoman
1434,0,third,male,17,Lebanon,0,Ottoman
90,1,first,female,18,USA,1,American
1975,1,first,female,18,USA,1,American
1896,1,first,female,18,USA,1,American
1759,1,first,female,18,USA,1,American
1283,1,first,female,18,USA,1,American
274,1,second,female,18,England,1,British
575,1,second,female,18,England,1,British
909,0,second,female,18,Finland,0,European
2063,0,third,female,18,Belgium,0,European
22,1,third,female,18,England,1,British
106,1,third,female,18,England,1,British
2041,1,third,female,18,Finland,0,European
1860,1,third,female,18,Finland,0,European
882,0,third,female,18,Ireland,1,Irish
1710,1,third,female,18,Ireland,1,Irish
1427,1,third,female,18,Ireland,1,Irish
124,0,third,female,18,Lebanon,0,Ottoman
12,1,third,female,18,Lebanon,0,Ottoman
1609,0,third,female,18,Sweden,0,European
1470,1,third,female,18,Sweden,0,European
70,0,third,female,18,Switzerland,0,European
335,0,third,female,18,Syria,0,Ottoman
1282,0,first,male,18,USA,1,American
113,0,second,male,18,England,1,British
556,0,second,male,18,England,1,British
658,0,second,male,18,England,1,British
1727,0,second,male,18,England,1,British
643,0,second,male,18,Norway,0,European
313,0,third,male,18,Croatia,0,European
2165,0,third,male,18,England,1,British
160,0,third,male,18,England,1,British
1775,0,third,male,18,England,1,British
681,0,third,male,18,England,1,British
413,1,third,male,18,England,1,British
581,1,third,male,18,England,1,British
2157,0,third,male,18,Finland,0,European
1734,0,third,male,18,Finland,0,European
399,0,third,male,18,Greece,0,European
1659,0,third,male,18,Lebanon,0,Ottoman
203,0,third,male,18,Sweden,0,European
617,0,third,male,18,Sweden,0,European
662,0,third,male,18,Sweden,0,European
1430,0,third,male,18,Sweden,0,European
1127,0,third,male,18,Sweden,0,European
822,0,third,male,18,Syria,0,Ottoman
1254,1,first,female,19,Canada,1,OES
201,1,first,female,19,USA,1,American
783,1,first,female,19,USA,1,American
1458,1,first,female,19,USA,1,American
155,1,second,female,19,England,1,British
1619,1,second,female,19,England,1,British
178,1,second,female,19,USA,1,American
44,1,third,female,19,Denmark,0,European
1340,0,third,female,19,England,1,British
554,1,third,female,19,Ireland,1,Irish
753,1,third,female,19,Ireland,1,Irish
1437,1,third,female,19,Lebanon,0,Ottoman
991,0,third,female,19,Syria,0,Ottoman
691,0,first,male,19,Canada,1,OES
336,0,second,male,19,England,1,British
1582,0,second,male,19,England,1,British
1459,0,second,male,19,England,1,British
1352,1,second,male,19,England,1,British
500,0,third,male,19,Austria,0,European
820,0,third,male,19,Belgium,0,European
1944,0,third,male,19,Bulgaria,0,European
1607,0,third,male,19,Bulgaria,0,European
449,0,third,male,19,Croatia,0,European
474,0,third,male,19,England,1,British
1798,0,third,male,19,England,1,British
1778,0,third,male,19,England,1,British
1562,0,third,male,19,England,1,British
1392,0,third,male,19,England,1,British
602,1,third,male,19,England,1,British
25,0,third,male,19,Finland,0,European
798,0,third,male,19,Finland,0,European
1070,0,third,male,19,Greece,0,European
295,0,third,male,19,Ireland,1,Irish
675,0,third,male,19,Ireland,1,Irish
1083,0,third,male,19,Ireland,1,Irish
1320,0,third,male,19,Ireland,1,Irish
1910,0,third,male,19,Norway,0,European
807,0,third,male,19,Norway,0,European
801,0,third,male,19,Sweden,0,European
1833,0,third,male,19,Syria or Lebanon,0,Ottoman
1032,0,third,male,19,USA,1,American
1311,1,third,male,19,USA,1,American
1675,0,third,male,19,Wales,1,British
1853,1,second,female,20,England,1,British
921,1,second,female,20,England,1,British
284,1,second,female,20,Sweden,0,European
1517,0,third,female,20,Croatia,0,European
1780,0,third,female,20,England,1,British
680,0,third,female,20,England,1,British
1056,0,third,female,20,Finland,0,European
1253,0,third,female,20,Ireland,1,Irish
1839,1,third,female,20,Ireland,1,Irish
1081,1,third,female,20,Ireland,1,Irish
1101,0,third,female,20,Lebanon,0,Ottoman
251,0,third,female,20,Sweden,0,European
1481,1,first,male,20,Germany,0,European
458,0,second,male,20,England,1,British
536,0,second,male,20,England,1,British
743,0,second,male,20,England,1,British
904,0,second,male,20,England,1,British
989,0,third,male,20,Bulgaria,0,European
1516,0,third,male,20,Croatia,0,European
1012,0,third,male,20,Denmark,0,European
1878,0,third,male,20,England,1,British
1856,0,third,male,20,England,1,British
1229,0,third,male,20,England,1,British
1245,0,third,male,20,England,1,British
1959,1,third,male,20,England,1,British
11,1,third,male,20,Finland,0,European
1203,1,third,male,20,Finland,0,European
2021,0,third,male,20,Ireland,1,Irish
380,0,third,male,20,Ireland,1,Irish
1768,0,third,male,20,Ireland,1,Irish
676,0,third,male,20,Ireland,1,Irish
1181,0,third,male,20,Ireland,1,Irish
1335,0,third,male,20,Ireland,1,Irish
98,0,third,male,20,Lebanon,0,Ottoman
187,0,third,male,20,Lebanon,0,Ottoman
1474,0,third,male,20,Lebanon,0,Ottoman
1444,0,third,male,20,Lebanon,0,Ottoman
1441,0,third,male,20,Lebanon,0,Ottoman
1436,1,third,male,20,Lebanon,0,Ottoman
1263,1,third,male,20,Lebanon,0,Ottoman
1513,0,third,male,20,Norway,0,European
411,0,third,male,20,Portugal,0,European
58,0,third,male,20,Sweden,0,European
2074,0,third,male,20,Sweden,0,European
2028,0,third,male,20,Syria,0,Ottoman
2163,1,first,female,21,USA,1,American
1762,1,first,female,21,USA,1,American
831,1,first,female,21,USA,1,American
1223,1,first,female,21,USA,1,American
1750,1,second,female,21,England,1,British
1616,1,second,female,21,England,1,British
315,0,third,female,21,Croatia,0,European
838,0,third,female,21,England,1,British
1057,0,third,female,21,Finland,0,European
578,0,third,female,21,Ireland,1,Irish
1525,0,third,female,21,Ireland,1,Irish
1446,0,third,female,21,Ireland,1,Irish
1422,0,third,female,21,Ireland,1,Irish
1419,1,third,female,21,Ireland,1,Irish
1248,1,third,female,21,Ireland,1,Irish
1784,1,third,female,21,Norway,0,European
2171,1,first,male,21,Switzerland,0,European
2145,0,first,male,21,USA,1,American
516,0,second,male,21,England,1,British
742,0,second,male,21,England,1,British
630,0,second,male,21,Sweden,0,European
1796,1,third,male,21,Belgium,0,European
1373,0,third,male,21,Bulgaria,0,European
828,0,third,male,21,Denmark,0,European
332,0,third,male,21,England,1,British
1927,0,third,male,21,England,1,British
522,0,third,male,21,England,1,British
724,0,third,male,21,England,1,British
1684,0,third,male,21,England,1,British
1480,0,third,male,21,England,1,British
1219,0,third,male,21,England,1,British
2158,0,third,male,21,Finland,0,European
1577,0,third,male,21,Finland,0,European
330,0,third,male,21,Ireland,1,Irish
1488,0,third,male,21,Ireland,1,Irish
1206,0,third,male,21,Ireland,1,Irish
286,1,third,male,21,Ireland,1,Irish
1498,1,third,male,21,Ireland,1,Irish
733,0,third,male,21,Lebanon,0,Ottoman
198,0,third,male,21,Norway,0,European
1059,0,third,male,21,Norway,0,European
1360,1,third,male,21,Norway,0,European
1003,0,third,male,21,Portugal,0,European
2082,0,third,male,21,Slovenia,0,European
1561,0,third,male,21,Slovenia,0,European
2181,0,third,male,21,South Africa,1,OES
1469,0,third,male,21,Sweden,0,European
1002,1,third,male,21,Sweden,0,European
1063,1,third,male,21,Sweden,0,European
86,0,third,male,21,Syria,0,Ottoman
1859,0,third,male,21,USA,1,American
240,1,first,female,22,England,1,British
406,1,first,female,22,England,1,British
1572,1,first,female,22,England,1,British
1580,1,first,female,22,Spain,0,European
711,1,first,female,22,Switzerland,0,European
736,1,first,female,22,USA,1,American
1524,1,first,female,22,USA,1,American
442,1,second,female,22,England,1,British
1156,1,second,female,22,France,0,European
1945,0,third,female,22,Finland,0,European
1707,0,third,female,22,Finland,0,European
916,1,third,female,22,Finland,0,European
288,0,third,female,22,Ireland,1,Irish
329,0,third,female,22,Ireland,1,Irish
668,0,third,female,22,Ireland,1,Irish
246,1,third,female,22,Ireland,1,Irish
1086,1,third,female,22,Ireland,1,Irish
1326,1,third,female,22,Ireland,1,Irish
1415,1,third,female,22,Lebanon,0,Ottoman
499,0,third,female,22,Sweden,0,European
886,1,third,female,22,Sweden,0,European
1497,1,third,female,22,Sweden,0,European
1484,1,third,female,22,Sweden,0,European
1151,1,third,female,22,Sweden,0,European
1115,0,third,female,22,Switzerland,0,European
609,1,third,female,22,USA,1,American
1564,0,first,male,22,Canada,1,OES
1705,0,first,male,22,USA,1,American
943,0,second,male,22,England,1,British
1008,0,second,male,22,England,1,British
1530,1,second,male,22,England,1,British
2083,0,third,male,22,Belgium,0,European
1451,0,third,male,22,Bulgaria,0,European
1432,0,third,male,22,Bulgaria,0,European
2023,0,third,male,22,Canada,1,OES
143,0,third,male,22,England,1,British
255,0,third,male,22,England,1,British
1840,0,third,male,22,England,1,British
549,0,third,male,22,England,1,British
679,0,third,male,22,England,1,British
1588,0,third,male,22,England,1,British
1424,0,third,male,22,England,1,British
180,0,third,male,22,Finland,0,European
1251,0,third,male,22,Finland,0,European
1806,0,third,male,22,Ireland,1,Irish
583,0,third,male,22,Ireland,1,Irish
947,0,third,male,22,Ireland,1,Irish
1105,0,third,male,22,Ireland,1,Irish
1106,0,third,male,22,Ireland,1,Irish
1347,0,third,male,22,Ireland,1,Irish
1170,1,third,male,22,Lebanon,0,Ottoman
268,0,third,male,22,Sweden,0,European
1022,0,third,male,22,Sweden,0,European
1065,0,third,male,22,Sweden,0,European
1161,0,third,male,22,Sweden,0,European
2213,0,third,male,22,Turkey,0,Ottoman
1855,0,third,male,22,Turkey,0,Ottoman
2068,1,third,male,22,Turkey,0,Ottoman
518,0,third,male,22,Wales,1,British
746,0,third,male,22,Wales,1,British
693,1,first,female,23,Canada,1,OES
1908,1,first,female,23,USA,1,American
612,1,first,female,23,USA,1,American
1456,1,first,female,23,USA,1,American
1235,1,second,female,23,Sweden,0,European
816,1,second,female,23,USA,1,American
1016,1,second,female,23,USA,1,American
1515,0,third,female,23,Croatia,0,European
885,0,third,female,23,Finland,0,European
892,0,third,female,23,Ireland,1,Irish
436,1,third,female,23,Ireland,1,Irish
1380,1,third,female,23,Ireland,1,Irish
789,1,first,male,23,USA,1,American
1535,0,second,male,23,Canada,1,OES
60,0,second,male,23,England,1,British
114,0,second,male,23,England,1,British
2100,0,second,male,23,England,1,British
182,0,second,male,23,England,1,British
2036,0,second,male,23,England,1,British
620,0,second,male,23,England,1,British
2168,1,second,male,23,England,1,British
1696,0,second,male,23,France,0,European
922,0,second,male,23,USA,1,American
88,0,third,male,23,Argentina,0,Other
2061,0,third,male,23,Belgium,0,European
2022,0,third,male,23,Bulgaria,0,European
1924,0,third,male,23,Bulgaria,0,European
1045,0,third,male,23,Bulgaria,0,European
1146,0,third,male,23,Bulgaria,0,European
1378,0,third,male,23,Bulgaria,0,European
1148,0,third,male,23,China,0,Other
24,0,third,male,23,England,1,British
1913,0,third,male,23,England,1,British
794,0,third,male,23,England,1,British
1362,0,third,male,23,England,1,British
1492,0,third,male,23,Ireland,1,Irish
1071,0,third,male,23,Ireland,1,Irish
1271,0,third,male,23,Macedonia,0,Ottoman
94,0,third,male,23,Sweden,0,European
1494,0,third,male,23,Sweden,0,European
83,1,third,male,23,Sweden,0,European
608,0,third,male,23,USA,1,American
1298,1,first,female,24,Belgium,0,European
690,1,first,female,24,Canada,1,OES
93,1,first,female,24,France,0,European
1782,1,first,female,24,France,0,European
874,1,first,female,24,USA,1,American
1262,1,second,female,24,Canada,1,OES
1697,1,second,female,24,England,1,British
894,1,second,female,24,England,1,British
896,1,second,female,24,England,1,British
993,1,second,female,24,England,1,British
2212,0,second,female,24,France,0,European
544,1,second,female,24,Italy,0,European
1060,1,second,female,24,Russia,0,European
596,1,third,female,24,Belarus,0,European
1926,1,third,female,24,England,1,British
809,1,third,female,24,Finland,0,European
590,0,third,female,24,Ireland,1,Irish
1305,1,third,female,24,Ireland,1,Irish
104,1,third,female,24,Lebanon,0,Ottoman
1601,1,third,female,24,Lebanon,0,Ottoman
1412,1,third,female,24,Lebanon,0,Ottoman
1792,1,third,female,24,Sweden,0,European
804,0,third,female,24,Switzerland,0,European
199,0,first,male,24,Belgium,0,European
150,0,first,male,24,Canada,1,OES
739,0,first,male,24,France,0,European
1581,0,first,male,24,Spain,0,European
1894,0,first,male,24,USA,1,American
1907,1,first,male,24,USA,1,American
2136,0,second,male,24,England,1,British
745,0,second,male,24,England,1,British
747,0,second,male,24,England,1,British
902,0,second,male,24,England,1,British
1007,0,second,male,24,England,1,British
26,0,third,male,24,Argentina,0,Other
1193,0,third,male,24,Belgium,0,European
415,0,third,male,24,Bulgaria,0,European
1372,0,third,male,24,Bulgaria,0,European
881,1,third,male,24,China,0,Other
1633,0,third,male,24,Croatia,0,European
515,0,third,male,24,England,1,British
1605,0,third,male,24,England,1,British
1576,0,third,male,24,England,1,British
414,0,third,male,24,Ireland,1,Irish
1828,0,third,male,24,Ireland,1,Irish
1755,1,third,male,24,Ireland,1,Irish
1091,1,third,male,24,Ireland,1,Irish
1314,1,third,male,24,Ireland,1,Irish
369,0,third,male,24,Italy,0,European
1250,1,third,male,24,Norway,0,European
71,0,third,male,24,Sweden,0,European
1965,0,third,male,24,Sweden,0,European
340,0,third,male,24,Sweden,0,European
1783,0,third,male,24,Sweden,0,European
36,0,first,female,25,Canada,1,OES
366,1,first,female,25,England,1,British
1357,1,first,female,25,USA,1,American
397,1,second,female,25,England,1,British
1835,1,second,female,25,USA,1,American
982,0,third,female,25,Finland,0,European
1496,1,third,female,25,Ireland,1,Irish
1428,1,third,female,25,Ireland,1,Irish
1423,1,third,female,25,Ireland,1,Irish
1198,0,third,female,25,Sweden,0,European
200,1,first,male,25,USA,1,American
832,1,first,male,25,USA,1,American
305,0,second,male,25,England,1,British
1939,0,second,male,25,England,1,British
1909,0,second,male,25,England,1,British
1817,0,second,male,25,England,1,British
547,0,second,male,25,England,1,British
1192,0,second,male,25,England,1,British
421,1,second,male,25,England,1,British
1155,0,second,male,25,France,0,European
1259,0,second,male,25,France,0,European
285,0,second,male,25,Sweden,0,European
228,0,second,male,25,USA,1,American
27,0,third,male,25,Argentina,0,Other
546,0,third,male,25,Bosnia,0,European
511,0,third,male,25,Bulgaria,0,European
1961,0,third,male,25,England,1,British
537,0,third,male,25,England,1,British
1579,0,third,male,25,Finland,0,European
647,0,third,male,25,Ireland,1,Irish
2113,0,third,male,25,Lebanon,0,Ottoman
1100,0,third,male,25,Lebanon,0,Ottoman
1213,0,third,male,25,Russia,0,European
1610,0,third,male,25,Sweden,0,European
2029,1,third,male,25,Sweden,0,European
1989,1,third,male,25,Sweden,0,European
1598,1,third,male,25,Sweden,0,European
69,0,third,male,25,Switzerland,0,European
1765,0,third,male,25,Syria,0,Ottoman
1269,0,third,male,25,Turkey,0,Ottoman
1134,1,third,male,25,Turkey,0,Ottoman
1104,0,third,male,25,USA,1,American
7,1,third,male,25,USA,1,American
125,1,first,female,26,England,1,British
400,1,first,female,26,USA,1,American
2201,1,second,female,26,England,1,British
1141,0,second,female,26,USA,1,American
2037,1,second,female,26,USA,1,American
1566,0,third,female,26,England,1,British
1739,1,third,female,26,England,1,British
883,1,third,female,26,Finland,0,European
1603,0,third,female,26,Ireland,1,Irish
1486,1,third,female,26,Ireland,1,Irish
1015,1,third,female,26,Ireland,1,Irish
1313,1,third,female,26,Ireland,1,Irish
1471,1,third,female,26,Sweden,0,European
1117,1,third,female,26,Switzerland,0,European
142,0,third,female,26,USA,1,American
1216,0,third,female,26,USA,1,American
1029,1,third,female,26,USA,1,American
171,1,first,male,26,USA,1,American
1967,0,second,male,26,England,1,British
728,0,second,male,26,England,1,British
1452,0,second,male,26,England,1,British
320,1,second,male,26,Siam,0,Other
1533,1,second,male,26,Spain,0,European
1811,0,second,male,26,USA,1,American
116,0,third,male,26,Bosnia,0,European
64,0,third,male,26,Bulgaria,0,European
226,0,third,male,26,Bulgaria,0,European
1154,1,third,male,26,China,0,Other
827,0,third,male,26,Denmark,0,European
15,0,third,male,26,England,1,British
550,0,third,male,26,England,1,British
398,0,third,male,26,Greece,0,European
1902,0,third,male,26,Ireland,1,Irish
1354,0,third,male,26,Ireland,1,Irish
10,1,third,male,26,Lebanon,0,Ottoman
1137,0,third,male,26,Scotland,1,British
174,0,third,male,26,Sweden,0,European
1026,1,third,male,26,Sweden,0,European
1116,0,third,male,26,Switzerland,0,European
55,0,third,male,26,USA,1,American
237,0,third,male,26,Wales,1,British
513,1,first,female,27,Canada,1,OES
586,1,first,female,27,Canada,1,OES
1184,1,first,female,27,USA,1,American
2045,0,second,female,27,England,1,British
2038,1,second,female,27,England,1,British
603,1,second,female,27,Spain,0,European
955,1,third,female,27,England,1,British
942,1,third,female,27,Finland,0,European
1342,0,third,female,27,Ireland,1,Irish
1495,1,third,female,27,Ireland,1,Irish
2032,1,third,female,27,Lebanon,0,Ottoman
981,0,third,female,27,USA,1,American
867,1,first,male,27,Egypt,0,Ottoman
2155,0,first,male,27,USA,1,American
401,0,first,male,27,USA,1,American
374,1,first,male,27,USA,1,American
507,1,first,male,27,USA,1,American
1827,0,second,male,27,England,1,British
1384,0,second,male,27,England,1,British
420,0,second,male,27,Finland,0,European
1655,0,second,male,27,USA,1,American
1210,0,third,male,27,Austria,0,European
510,0,third,male,27,Bulgaria,0,European
734,0,third,male,27,Bulgaria,0,European
1663,0,third,male,27,Bulgaria,0,European
1628,0,third,male,27,Bulgaria,0,European
1133,0,third,male,27,Bulgaria,0,European
1950,0,third,male,27,Croatia,0,European
448,0,third,male,27,Croatia,0,European
1341,0,third,male,27,England,1,British
1487,0,third,male,27,Ireland,1,Irish
1396,0,third,male,27,Ireland,1,Irish
2205,0,third,male,27,Lebanon,0,Ottoman
824,1,third,male,27,Lebanon,0,Ottoman
1509,0,third,male,27,Norway,0,European
1381,0,third,male,27,Norway,0,European
1047,0,third,male,27,Sweden,0,European
2129,1,third,male,27,Sweden,0,European
2183,0,third,male,27,Switzerland,0,European
2214,0,third,male,27,Turkey,0,Ottoman
880,1,third,male,27,USA,1,American
692,1,first,female,28,Canada,1,OES
378,0,second,female,28,England,1,British
403,1,second,female,28,England,1,British
526,1,second,female,28,England,1,British
8,1,second,female,28,France,0,European
322,1,second,female,28,Siam,0,Other
1683,1,second,female,28,Spain,0,European
1066,0,second,female,28,USA,1,American
1606,0,third,female,28,Croatia,0,European
1395,1,third,female,28,Ireland,1,Irish
1266,1,third,female,28,Ireland,1,Irish
504,0,third,female,28,Sweden,0,European
891,0,third,female,28,Sweden,0,European
1270,1,first,male,28,France,0,European
204,1,first,male,28,Sweden,0,European
317,0,first,male,28,USA,1,American
1356,0,first,male,28,USA,1,American
1879,1,first,male,28,USA,1,American
120,0,second,male,28,England,1,British
2122,0,second,male,28,England,1,British
159,0,second,male,28,England,1,British
1552,0,second,male,28,England,1,British
1443,0,second,male,28,Lebanon,0,Ottoman
1476,0,second,male,28,Scotland,1,British
2067,0,third,male,28,Belgium,0,European
2055,0,third,male,28,Belgium,0,European
1361,0,third,male,28,Bulgaria,0,European
1209,0,third,male,28,China,0,Other
888,0,third,male,28,Croatia,0,European
2169,0,third,male,28,England,1,British
355,0,third,male,28,England,1,British
1416,0,third,male,28,England,1,British
800,0,third,male,28,Finland,0,European
810,0,third,male,28,Finland,0,European
438,0,third,male,28,Ireland,1,Irish
671,0,third,male,28,Ireland,1,Irish
698,0,third,male,28,Ireland,1,Irish
860,0,third,male,28,Ireland,1,Irish
2211,0,third,male,28,Lebanon,0,Ottoman
497,0,third,male,28,Lebanon,0,Ottoman
806,0,third,male,28,Norway,0,European
1574,0,third,male,28,Norway,0,European
938,0,third,male,28,Norway,0,European
1507,0,third,male,28,Norway,0,European
339,0,third,male,28,Sweden,0,European
1511,0,third,male,28,Sweden,0,European
1468,0,third,male,28,Sweden,0,European
334,0,third,male,28,Syria,0,Ottoman
2170,0,third,male,28,Wales,1,British
30,1,first,female,29,USA,1,American
1135,1,first,female,29,USA,1,American
2126,1,second,female,29,England,1,British
932,1,second,female,29,England,1,British
1483,1,second,female,29,USA,1,American
1467,0,third,female,29,Finland,0,European
878,1,third,female,29,Ireland,1,Irish
1312,1,third,female,29,Ireland,1,Irish
1386,1,third,female,29,Russia,0,European
1541,0,third,female,29,Sweden,0,European
1951,0,third,female,29,USA,1,American
1573,0,first,male,29,England,1,British
1514,1,first,male,29,France,0,European
1221,0,first,male,29,USA,1,American
2046,0,second,male,29,England,1,British
404,0,second,male,29,England,1,British
418,0,second,male,29,England,1,British
545,0,second,male,29,Italy,0,European
1539,1,second,male,29,Spain,0,European
245,0,second,male,29,USA,1,American
1810,1,third,male,29,Belgium,0,European
1608,0,third,male,29,Bulgaria,0,European
998,1,third,male,29,Croatia,0,European
1233,1,third,male,29,Croatia,0,European
254,0,third,male,29,England,1,British
394,0,third,male,29,England,1,British
1258,0,third,male,29,Finland,0,European
2217,0,third,male,29,Germany,0,European
1756,0,third,male,29,Ireland,1,Irish
