Species MaxDepth MeanDepth Cond Elev Lat Long Dist NLakes Photo Area Lake 
6 0.8 0.4 72 1425 38.6 109.6 2.25 2 NA 0.0271 Utah_Stock_C9 
6 1.5 1.07 8 3400 39 107.1 0.75 35 NA 0.0162 M.C._L8 
3 0.3 0.2 1200 264 43 89.3 0.5 19 NA 0.008 Tower 
3 0.4 0.25 80 415 45.3 91.2 2.12 81 NA 0.008 Plagge 
4 0.9 0.4 NA 307 37.2 122 0.5 11 NA 0.0035 Reissen 
3 0.15 0.06 88 307 32.8 117.2 6.25 11 NA 0.002 Miramar_1 
1 0.7 0.5 NA 1428 38.6 109.6 2.25 9 NA 0.0016 Utah_G5A 
2 1.5 1 230 1432 38.6 109.6 2.25 9 NA 0.0012 Utah_AA1 
1 0.23 0.18 850 264 43 89.4 0.75 20 NA 0.0004 Martin 
13 1.5 1 700 -1 52.8 -5.7 2.75 63 822 2100 Tjeukemeer 
4 12 4.7 NA 3040 37.1 3.3 1 14 9.4 2.3 La_Caldera 
