logPPgdp logFertility Purban Locality
10.920353 1.30291275 66 "Marshall.Is"
13.388421 0.64185389 95 "Martinique"
8.463524 1.75613229 59 "Mauritania"
11.886840 0.66782937 42 "Mauritius"
12.586371 0.91629073 75 "Mexico"
11.113091 1.33500107 29 "Micronesia"
8.703904 0.88376754 57 "Mongolia"
10.161132 1.01160091 56 "Morocco"
7.614710 1.72810944 33 "Mozambique"
10.678600 1.51732262 31 "Namibia"
7.820179 1.44926916 12 "Nepal"
14.537764 0.54232429 90 "Netherlands"
13.568550 0.71783979 69 "Neth.Antilles"
13.943064 0.89608802 78 "New.Caledonia"
13.686610 0.69813472 86 "New.Zealand"
8.933691 1.32175584 57 "Nicaragua"
7.459432 2.07944154 21 "Niger"
8.764872 1.69009582 45 "Nigeria"
15.153433 0.58778666 75 "Norway"
12.857398 1.60140574 77 "Oman"
8.707359 1.62531126 33 "Pakistan"
12.593158 1.09861229 69 "Palau"
11.727495 0.99325177 57 "Panama"
9.090112 1.40854497 18 "Papua.New.Guinea"
10.328675 1.34547237 57 "Paraguay"
11.003518 1.05082162 73 "Peru"
9.851749 1.15688120 59 "Philippines"
12.185185 0.23111172 63 "Poland"
13.417853 0.37156356 66 "Portugal"
14.220000 0.63657683 76 "Puerto.Rico"
14.896190 1.16938136 93 "Qatar"
8.434628 0.33647224 41 "Moldova"
13.165535 0.83290912 72 "Reunion"
10.729621 0.27763174 55 "Romania"
11.062721 0.13102826 73 "Russia"
7.679480 1.74745921 6 "Rwanda"
13.040632 0.87962675 34 "Saint.Kitts.and.Nevis"
12.285980 0.81977983 38 "Saint.Lucia"
11.521600 0.80200159 56 "St.Vincent/Grenadines"
10.453271 1.41585316 22 "Samoa"
8.285402 1.38379123 48 "Sao.Tome.and.Principe"
12.915132 1.51072194 87 "Saudi.Arabia"
8.903882 1.60341984 48 "Senegal"
9.977280 0.50077529 52 "Serbia.and.Montenegro."
12.938477 0.69314718 65 "Seychelles"
7.357552 1.87180218 37 "Sierra.Leone"
14.341171 0.30748470 100 "Singapore"
11.879200 0.24686008 58 "Slovakia"
13.208082 0.13102826 49 "Slovenia"
9.569856 1.48613970 20 "Solomon.Islands"
6.781360 1.98100147 28 "Somalia"
11.316282 0.95935022 58 "South.Africa"
13.797054 0.13976194 78 "Spain"
9.691744 0.69813472 23 "Sri.Lanka"
8.554589 1.47932923 37 "Sudan"
10.940314 0.89608802 75 "Suriname"
10.233620 1.51292701 27 "Swaziland"
14.531381 0.49469624 83 "Sweden"
15.072174 0.34358970 67 "Switzerland"
12.280771 1.19996478 52 "Syria"
7.426265 1.11841492 28 "Tajikistan"
10.859535 0.65752000 20 "Thailand"
10.750707 0.64185389 59 "Macedonia"
8.774787 1.34807315 8 "Timor-Leste"
8.092757 1.67335124 34 "Togo"
10.326429 1.31103188 33 "Tonga"
12.734921 0.43825493 75 "Trinidad.and.Tobago"
11.020286 0.69813472 66 "Tunisia"
11.060696 0.88789126 66 "Turkey"
10.302639 0.99325177 45 "Turkmenistan"
7.900867 1.96009478 15 "Uganda"
9.575539 0.13976194 68 "Ukraine"
14.274378 1.03673688 87 "United.Arab.Emirates"
14.561885 0.47000363 90 "United.Kingdom"
8.038919 1.63119940 33 "Tanzania"
15.086302 0.74668795 77 "USA"
12.428884 0.83290912 92 "Uruguay"
8.707359 0.89199804 37 "Uzbekistan"
10.083479 1.41827741 22 "Vanuatu"
12.290307 1.00063188 87 "Venezuela"
8.700440 0.83290912 25 "Viet.Nam"
8.751544 1.94733770 25 "Yemen"
8.430453 1.72988407 40 "Zambia"
9.457381 1.36097655 36 "Zimbabwe"
