team ,leagueID,player,salary,POS,G,GS,InnOuts,PO,A,E,DP,PB,GB,AB,R,H,SecB,ThiB,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
ARI,NL,villaos0,325000,P,17,0,54,0,4,0,0,.,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,NL,webbbr01,335000,P,33,35,624,13,41,5,7,.,33,64,3,6,0,0,0,4,0,0,3,36,0,0,4,0,0
ATL,NL,alfonan0,1350000,P,76,0,221,3,7,0,0,.,76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ATL,NL,almanar0,500000,P,11,0,35,0,1,0,0,.,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ATL,NL,byrdpa01,7000000,P,18,19,343,7,15,3,2,.,18,30,2,6,0,0,0,4,0,0,5,7,0,0,8,0,0
ATL,NL,cruzju02,370000,P,47,0,216,4,6,0,1,.,47,5,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0
ATL,NL,cunnawi0,525000,P,9,0,37,1,1,0,0,.,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,NL,derosma0,725000,3B,118,62,1668,27,126,10,7,.,118,309,33,74,16,0,3,31,1,3,23,53,3,3,4,6,6
ATL,NL,drewjd01,4200000,RF,145,137,3579,277,12,3,0,.,145,518,118,158,28,8,31,93,12,3,118,116,2,5,1,3,7
ATL,NL,estrajo0,312500,C,134,120,3126,776,44,9,8,.,134,462,56,145,36,0,9,76,0,0,39,66,7,11,1,4,18
ATL,NL,francju0,750000,1B,125,71,1894,627,48,2,68,.,125,320,37,99,18,3,6,57,4,2,36,68,4,1,1,3,10
ATL,NL,furcara0,3700000,SS,143,130,3402,192,411,24,101,.,143,563,103,157,24,5,14,59,29,6,58,71,4,1,5,5,9
ATL,NL,garcije0,312500,3B,50,1,36,0,3,1,0,.,50,115,14,29,4,1,1,10,1,2,1,16,0,1,1,0,2
ATL,NL,gilesma0,430000,2B,102,94,2367,186,289,12,69,.,102,379,61,118,22,2,8,48,17,4,36,70,0,9,3,7,6
ATL,NL,gryboke0,377500,P,67,0,152,2,6,0,3,.,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,NL,hamptmi0,14625000,P,35,29,517,13,37,2,4,.,35,64,7,11,3,0,2,7,0,0,3,23,0,0,4,0,1
ATL,NL,hessmmi0,300000,1B,29,9,271,96,4,4,6,.,29,69,8,9,3,0,2,5,0,0,1,24,0,1,0,0,0
ATL,NL,jonesan0,12500000,CF,154,153,4041,389,10,3,2,.,154,570,85,149,34,4,29,91,6,6,71,147,9,3,0,2,24
ATL,NL,jonesch0,15333333,3B,137,93,2406,58,177,6,13,.,137,472,69,117,20,1,30,96,2,0,84,96,8,4,0,7,14
ATL,NL,larocad0,300000,1B,110,82,2160,739,41,5,87,.,110,324,45,90,27,1,13,45,0,0,27,78,1,1,2,2,10
ATL,NL,marreel0,3000000,LF,90,42,1125,80,4,1,1,.,90,250,37,80,18,1,10,40,4,1,23,50,1,1,2,4,4
ATL,NL,nitkocj0,375000,P,20,0,60,1,3,1,0,.,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,NL,ortizru0,6200000,P,32,34,614,7,38,0,5,.,32,59,1,6,2,0,0,1,0,0,1,17,0,1,10,0,1
ATL,NL,perezed0,625000,1B,74,0,25,10,0,0,1,.,74,170,14,39,12,0,3,13,0,0,11,29,1,3,3,1,5
ATL,NL,ramirho0,330000,P,11,9,181,3,18,0,1,.,11,21,0,2,0,0,0,1,0,0,0,5,0,0,1,0,0
ATL,NL,reitsch0,950000,P,80,0,239,3,7,0,1,.,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,NL,smoltjo0,11666667,P,69,0,245,9,9,0,0,.,69,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ATL,NL,thomsjo0,2250000,P,31,33,595,12,27,1,2,.,31,66,3,13,1,0,0,4,0,0,0,24,0,0,10,0,2
ATL,NL,wisede01,325000,LF,77,21,622,40,2,0,0,.,77,162,24,37,9,4,6,17,6,1,9,28,1,1,2,1,1
ATL,NL,wrighja0,850000,P,30,32,559,15,25,2,2,.,30,57,4,6,1,0,1,4,0,0,2,33,0,0,6,0,0
BAL,AL,ainswku0,315000,P,7,7,92,2,2,0,1,.,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL,AL,bauerri0,335000,P,1,2,161,3,9,0,1,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL,AL,bautijo0,300000,3B,16,0,15,0,0,0,0,.,16,11,3,3,0,0,0,0,0,0,1,3,0,0,0,0,0
BAL,AL,bigbila0,340000,LF,139,102,2745,215,2,2,0,.,139,478,76,134,23,1,15,68,8,3,45,113,0,1,3,4,7
BAL,AL,dejeami0,1500000,P,4,0,119,2,3,0,1,.,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BAL,AL,duboser0,305000,P,1,14,224,0,18,2,1,.,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BAL,AL,gibboja0,2600000,RF,97,63,1669,116,6,2,1,.,97,346,36,85,14,1,10,47,1,1,29,64,0,1,1,3,11
BAL,AL,groombu0,3000000,P,5,0,158,4,3,0,0,.,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL,AL,hairsje0,1650000,RF,86,24,631,53,2,0,1,.,86,287,43,87,19,1,2,24,13,8,29,29,1,8,6,4,3
BAL,AL,juliojo0,385000,P,4,0,207,3,3,0,0,.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL,AL,lopezja0,6000000,C,150,125,3277,848,49,5,11,9,150,579,83,183,33,3,23,86,0,0,47,97,4,6,0,6,16
BAL,AL,lopezlu0,365000,SS,56,0,98,7,10,1,3,.,56,88,7,16,5,0,1,8,0,0,3,20,0,1,2,3,1
BAL,AL,lopezro0,365000,P,1,23,512,15,22,0,2,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL,AL,matoslu0,975000,CF,89,85,2344,220,3,1,1,.,89,330,36,74,18,0,6,28,12,4,19,60,2,5,3,2,7
BAL,AL,morame01,2333333,3B,140,137,3631,122,258,21,21,.,140,550,111,187,41,0,27,104,11,6,66,95,0,11,6,3,10
BAL,AL,osikke01,500000,C,11,6,178,43,3,0,1,2,11,25,0,2,0,0,0,0,0,0,0,7,0,0,0,0,1
BAL,AL,palmera0,4000000,1B,154,128,3413,1089,95,8,114,.,154,550,68,142,29,0,23,88,2,1,86,61,15,6,0,9,15
BAL,AL,parrijo0,320000,P,6,1,234,8,11,6,1,.,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL,AL,ponsosi0,3000000,P,2,33,647,21,28,1,4,.,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
BAL,AL,rileyma0,310000,P,2,13,192,1,5,5,1,.,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BAL,AL,roberbr0,345000,2B,159,148,3967,235,426,8,92,.,159,641,107,175,50,2,4,53,29,12,71,95,1,1,15,6,3
BAL,AL,ryanbj01,1275000,P,5,0,261,3,6,1,0,.,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL,AL,seguida0,7000000,1B,18,2,54,17,0,0,1,.,18,59,8,20,3,0,1,7,0,1,5,13,1,1,0,0,3
BAL,AL,surhobj0,800000,LF,100,31,805,69,0,1,0,.,100,343,49,106,12,1,8,50,2,0,30,46,2,1,3,1,9
BAL,AL,tejadmi0,5000000,SS,162,162,4265,264,526,24,118,.,162,653,107,203,40,2,34,150,4,1,48,73,6,10,0,14,24
BOS,AL,arroybr0,332500,P,3,29,536,24,16,2,2,.,3,6,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
BOS,AL,bellhma0,490000,2B,138,118,3134,189,350,11,61,.,138,523,93,138,37,3,17,82,6,1,88,177,1,5,1,3,8
BOS,AL,crespce0,309000,2B,52,6,179,12,19,0,3,.,52,79,6,13,2,1,0,2,2,0,0,20,0,0,0,0,1
BOS,AL,damonjo0,8000000,CF,150,145,3769,349,5,5,2,.,150,621,123,189,35,6,20,94,19,8,76,71,1,2,0,3,8
BOS,AL,daubabr0,500000,LF,30,5,132,7,1,0,0,.,30,75,9,17,8,0,2,8,0,0,10,21,0,1,0,0,1
BOS,AL,dinarle0,300000,P,3,0,83,4,3,2,0,.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,AL,embreal0,3000000,P,5,0,157,5,7,0,0,.,5,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0
BOS,AL,foulkke0,3500000,P,3,0,249,5,11,0,1,.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,AL,garcino0,11500000,SS,38,37,934,52,81,6,17,.,38,156,24,50,7,3,5,21,2,0,8,16,2,4,0,1,4
BOS,AL,kaplega0,750000,RF,136,59,1772,133,5,2,0,.,136,290,51,79,14,1,6,33,5,4,15,49,0,2,1,2,5
BOS,AL,kimby01,3425000,P,7,3,52,3,3,1,0,.,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,AL,lowede01,4500000,P,2,33,548,22,39,3,1,.,2,4,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
BOS,AL,martipe0,17500000,P,1,33,651,16,16,1,0,.,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOS,AL,mccarda0,500000,1B,89,25,864,287,30,3,23,.,89,151,24,39,8,1,4,17,1,0,14,40,0,2,0,1,5
BOS,AL,mendora0,3600000,P,27,0,92,4,5,0,0,.,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,AL,millake0,3300000,RF,150,53,1277,96,1,3,0,.,150,508,74,151,36,0,18,74,1,1,57,91,0,17,0,6,16
BOS,AL,mirabdo0,825000,C,59,41,1127,285,18,2,2,13,59,160,27,45,12,0,9,32,0,0,19,46,0,3,0,0,5
BOS,AL,muellbi0,2100000,3B,110,94,2483,71,162,14,15,.,110,399,75,113,27,1,12,57,2,2,51,56,1,4,0,6,8
BOS,AL,nixontr0,4500000,RF,48,36,918,63,1,1,0,.,48,149,24,47,9,1,6,23,0,0,15,24,1,1,0,2,3
BOS,AL,ortizda0,4587500,1B,150,31,781,253,21,4,23,.,150,582,94,175,47,3,41,139,0,0,75,133,8,4,0,8,12
BOS,AL,ramirma0,22500000,LF,152,132,3263,198,4,7,0,.,152,568,108,175,44,0,43,130,2,4,82,124,15,6,0,7,17
BOS,AL,reesepo0,1000000,SS,96,56,1523,85,189,6,37,.,96,244,32,54,7,2,3,29,6,2,17,60,1,0,6,1,5
BOS,AL,schilcu0,12000000,P,2,32,680,16,14,0,2,.,2,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
BOS,AL,timlimi0,2500000,P,4,0,229,9,6,0,0,.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,AL,varitja0,6900000,C,137,121,3188,880,49,2,11,5,137,463,67,137,30,1,18,73,10,3,62,126,9,10,0,1,11
BOS,AL,wakefti0,4350000,P,1,30,565,12,26,4,1,.,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOS,AL,willisc0,3175000,P,3,0,86,3,2,0,0,.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,adkinjo0,301000,P,3,0,186,4,8,1,1,.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,alomasa0,700000,C,50,46,1131,277,16,3,2,3,50,146,15,35,4,0,2,14,0,0,11,13,2,2,3,2,4
CHA,AL,buehrma0,3500000,P,2,35,736,16,51,4,3,.,2,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
CHA,AL,cottsne0,301000,P,3,1,196,1,8,1,1,.,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,credejo0,340000,3B,144,142,3705,91,243,12,23,.,144,490,67,117,25,0,21,69,1,2,34,81,0,10,4,5,14
CHA,AL,garlajo0,2300000,P,2,33,651,21,35,2,3,.,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CHA,AL,gloadro0,302000,LF,110,9,282,20,0,1,0,.,110,234,28,75,16,0,7,44,0,3,20,37,1,2,1,3,11
CHA,AL,harriwi0,318500,2B,129,76,2021,163,223,4,46,.,129,409,68,107,15,2,2,27,19,7,51,79,0,1,7,3,4
CHA,AL,jacksmi0,500000,P,3,0,140,2,8,0,0,.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,kochbi01,6375000,P,24,0,70,1,1,1,0,.,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,konerpa0,8000000,1B,155,137,3533,1149,79,6,136,.,155,563,84,156,22,0,41,117,1,0,69,107,5,6,0,5,23
CHA,AL,leeca01,6500000,LF,153,148,3833,282,11,0,2,.,153,591,103,180,37,0,31,99,11,5,54,86,3,7,0,6,10
CHA,AL,loaizes0,4000000,P,2,21,422,10,23,0,4,.,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
CHA,AL,marteda0,500000,P,4,0,221,4,4,0,1,.,4,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0
CHA,AL,olivomi0,320000,C,46,40,1099,238,10,4,5,4,46,141,21,38,7,2,7,26,5,4,10,29,1,0,4,1,2
CHA,AL,ordonma0,14000000,RF,52,43,1092,95,1,1,0,.,52,202,32,59,8,2,9,37,0,2,16,22,2,3,0,1,4
CHA,AL,perezti0,850000,RF,103,43,1151,83,5,0,3,.,103,293,38,72,12,0,5,40,3,1,15,29,0,2,9,2,9
CHA,AL,politcl0,800000,P,4,0,154,0,4,0,0,.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,rowanaa0,340000,CF,140,114,3056,290,8,6,1,.,140,487,94,151,38,2,24,69,17,5,30,91,1,10,5,2,5
CHA,AL,schoesc0,1725000,P,1,19,338,7,21,0,3,.,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,takatsh0,750000,P,3,0,187,1,10,0,0,.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,thomafr0,6000000,1B,74,4,97,31,3,0,2,.,74,240,53,65,16,0,18,49,0,2,64,57,3,6,0,1,2
CHA,AL,uribeju0,350000,2B,134,70,1877,154,208,6,49,.,134,502,82,142,31,6,23,74,9,11,32,96,1,3,11,5,10
CHA,AL,valenjo0,5000000,SS,125,117,3076,186,373,20,85,.,125,450,73,97,20,3,30,70,8,6,43,139,4,3,6,2,5
CHA,AL,wrighda0,340000,P,4,4,53,1,2,1,0,.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,AL,wunscke0,800000,P,3,0,6,0,1,0,0,.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,NL,aloumo01,9500000,LF,155,152,4015,240,7,8,2,.,155,601,106,176,36,3,39,106,3,0,68,80,2,0,0,6,12
CHN,NL,bakopa01,865000,C,49,43,1133,332,30,4,2,1,49,138,13,28,8,0,1,10,1,0,15,29,3,2,1,1,4
CHN,NL,barremi0,1550000,C,134,119,3244,1035,47,6,9,8,134,456,55,131,32,6,16,65,1,4,33,64,4,5,4,8,13
CHN,NL,borowjo0,2000000,P,22,0,64,0,1,0,0,.,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,NL,clemema0,6000000,P,29,30,543,16,21,3,3,.,29,55,2,8,1,0,0,2,0,0,1,29,0,0,4,1,0
CHN,NL,dempsry0,300000,P,23,0,62,4,2,0,0,.,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,NL,farnsky0,1400000,P,67,0,200,7,10,1,0,.,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,NL,gonzaal0,5750000,SS,37,35,892,65,82,5,18,.,37,129,15,28,10,0,3,8,1,1,4,26,0,0,2,0,6
CHN,NL,goodwto0,650000,LF,77,3,134,12,0,0,0,.,77,105,11,21,8,0,0,3,5,0,8,22,0,0,0,1,1
CHN,NL,grudzma0,2500000,2B,81,61,1704,136,186,5,30,.,81,257,32,79,12,1,6,23,1,1,15,32,0,1,4,1,7
CHN,NL,hawkila0,3000000,P,74,0,246,5,7,0,0,.,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,NL,hollato0,1000000,RF,57,26,697,54,2,0,0,.,57,148,28,47,6,2,8,22,1,1,17,26,3,1,1,0,2
CHN,NL,leede02,6166667,1B,161,159,4296,1259,130,6,113,.,161,605,90,168,39,1,32,98,12,5,68,128,4,8,2,5,14
CHN,NL,maciajo0,750000,3B,98,7,256,10,12,1,1,.,98,194,23,52,6,3,3,22,4,1,5,38,0,2,2,1,2
CHN,NL,maddugr0,6000000,P,32,33,638,21,55,1,3,.,32,69,5,11,0,0,0,5,1,0,1,12,0,0,9,0,1
CHN,NL,martira0,900000,SS,102,57,1589,80,174,6,34,.,102,260,22,64,15,1,3,30,1,0,26,40,3,1,7,4,5
CHN,NL,merckke0,1200000,P,66,0,159,1,4,0,0,.,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,NL,mitrese0,305000,P,13,9,155,8,10,0,0,.,13,15,0,1,1,0,0,0,0,0,1,8,0,0,3,0,0
CHN,NL,patteco0,480000,CF,157,152,4103,324,8,1,5,.,157,631,91,168,33,6,24,72,32,9,45,168,7,5,5,1,7
CHN,NL,prattan0,300000,P,4,0,5,1,0,0,0,.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,NL,priorma0,3150000,P,20,21,356,4,18,0,3,.,20,36,5,5,0,0,0,0,0,0,2,20,0,0,6,0,0
CHN,NL,ramirar0,6000000,3B,145,141,3736,92,221,10,15,.,145,547,99,174,32,1,36,103,0,2,49,62,6,3,0,7,25
CHN,NL,remlimi0,3983333,P,46,0,110,3,7,0,1,.,46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,NL,sosasa01,16000000,RF,126,124,3293,238,5,4,2,.,126,478,69,121,21,0,35,80,0,0,56,133,4,2,0,3,9
CHN,NL,walketo0,1750000,2B,129,88,2248,150,213,7,32,.,129,372,60,102,19,4,15,50,0,3,43,52,8,4,1,4,2
CHN,NL,welleto0,310000,P,20,0,73,0,2,0,1,.,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,NL,woodke02,8000000,P,22,22,421,4,13,1,2,.,22,45,2,6,1,0,1,3,0,0,2,11,0,0,5,1,0
CHN,NL,wuertmi0,300000,P,30,0,87,0,4,0,0,.,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,NL,zambrca0,450000,P,30,31,629,18,29,2,2,.,30,70,8,16,1,0,1,5,0,0,3,29,0,0,8,1,2
CIN,NL,acevejo0,340000,P,38,27,473,4,18,0,0,.,38,43,0,2,0,0,0,1,0,0,3,26,0,0,5,1,1
CIN,NL,caseyse0,6800000,1B,146,142,3737,1233,56,8,86,.,146,571,101,185,44,2,24,99,2,0,46,36,5,10,0,6,16
CIN,NL,castrju0,1000000,3B,111,35,1136,38,75,5,7,.,111,299,36,73,21,2,5,26,1,0,14,51,1,0,2,1,11
CIN,NL,dunnad01,445000,LF,161,146,3982,250,10,8,1,.,161,568,105,151,34,0,46,102,6,1,108,195,11,5,0,0,8
CIN,NL,freelry0,320000,2B,143,10,277,25,23,0,4,.,143,505,74,140,21,8,3,28,37,10,67,88,0,12,8,0,7
CIN,NL,graveda0,6000000,P,66,0,205,2,10,0,3,.,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,NL,griffke0,12500000,CF,83,76,1969,173,4,1,1,.,83,300,49,76,18,0,20,60,1,0,44,67,3,2,0,2,8
CIN,NL,haranaa0,360000,P,28,28,483,10,21,0,1,.,28,57,1,4,1,0,0,0,0,0,0,33,0,0,4,0,1
CIN,NL,hayneji0,2500000,P,5,4,45,2,2,0,0,.,5,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CIN,NL,jimenda0,1615000,2B,152,143,3789,298,389,7,74,.,152,563,76,152,28,3,12,67,13,7,82,99,1,2,3,2,15
