species genus mass ratio swamp
8 4 2.907 3.204 0
NA NA 5.356 2.811 0
8 4 2.596 3.895 0
6 3 5.259 3.296 0
1 1 2.403 2.493 0
9 4 3.051 3.317 0
NA 4 2.744 3.478 1
NA NA 1.631 3.595 1
NA NA 2.276 3.278 1
2 1 4.207 2.057 0
NA NA 2.924 3.333 0
NA NA 3.118 3.079 0
NA NA 3.157 3.477 1
NA NA 4.567 3.756 1
NA NA 6.24 2.785 1
6 3 5.625 2.617 0
NA NA 2.278 2.699 0
NA NA 5.255 2.714 0
NA NA 3.933 2.969 0
NA 2 4.704 4.387 1
NA NA 5.612 2.753 0
NA NA 3.915 2.348 0
NA NA 2.444 3.122 0
NA 4 2.992 2.969 0
NA NA 5.503 2.504 0
NA NA 6.411 2.608 0
NA NA 4.188 2.359 0
NA NA 3.675 2.375 0
NA NA 3.955 2.957 0
NA NA 5.861 2.788 0
NA NA 2.717 3.226 0
NA 1 5.513 2.875 0
2 1 4.186 2.652 0
10 4 2.781 4.997 0
NA 4 2.665 3.276 1
NA NA 4.038 2.743 1
NA NA 2.683 4.212 0
NA NA 2.566 4.059 1
NA NA 4.851 3.064 0
NA NA 4.107 2.597 0
NA NA 2.965 2.884 1
NA NA 2.531 2.613 0
NA NA 1.565 3.495 1
NA 4 2.289 5.929 0
NA NA 2.195 2.828 0
NA 1 3.827 2.615 0
NA 3 5.702 3.387 0
NA 4 2.945 3.602 1
NA NA 2.631 3.37 0
NA 1 3.215 2.491 0
NA NA 2.596 2.838 0
NA NA 5.908 2.598 0
NA NA 2.274 3.224 1
NA NA 2.577 3.367 0
6 3 5.491 2.673 0
NA NA 4.659 3.743 1
NA NA 2.975 3.805 0
NA NA 3.138 3.05 1
NA 1 3.778 2.481 0
NA 4 2.892 3.536 1
NA 1 2.676 2.781 1
NA NA 3.762 2.666 1
NA NA 2.758 3.038 1
NA NA 1.518 3.421 0
NA NA 4.138 2.193 0
NA 2 1.661 3.283 1
NA NA 4.29 4.581 1
NA 1 2.259 2.883 0
NA NA 2.928 3.457 1
NA NA 1.471 3.253 1
6 3 5.436 2.666 0
NA NA 3.553 2.397 1
NA NA 3.744 2.614 0
8 4 2.935 3.7 0
NA NA 5.785 2.904 0
NA NA 2.784 3.258 1
NA 1 5.599 2.841 0
NA 2 4.402 4.246 1
NA NA 2.403 3.729 0
NA NA 3.08 3.316 1
NA NA 5.265 2.389 1
NA NA 1.699 3.541 1
NA 2 4.678 4.21 1
NA NA 2.985 4.05 1
NA NA 2.592 5.606 0
NA NA 6.058 2.941 0
NA NA 2.818 3.437 0
NA NA 2.697 4.299 0
NA NA 1.707 4.082 1
NA NA 4.319 2.54 0
NA NA 5.255 2.782 0
NA NA 2.618 3.42 0
NA NA 2.879 3.505 1
NA NA 2.949 3.275 1
NA NA 3.532 2.621 0
NA 1 4.305 2.425 0
NA NA 2.811 3.106 1
NA 1 3.985 2.818 0
NA NA 3.087 3.66 1
2 1 4.551 2.456 0
NA NA 4.214 4.638 1
NA 1 2.608 2.758 0
NA NA 2.686 3.331 1
NA NA 1.768 3.246 1
NA NA 1.818 3.562 0
NA NA 2.856 3.381 1
NA 1 3.597 2.618 0
NA 1 2.309 2.939 0
NA NA 3.196 3.752 1
NA NA 5.703 2.912 1
NA NA 3.782 2.871 0
9 4 2.664 3.855 0
NA NA 3.075 2.557 0
NA NA 5.782 2.718 0
4 2 1.628 3.78 1
NA NA 3.855 2.373 1
NA NA 2.964 3.113 1
NA NA 4.641 2.672 0
NA NA 1.63 3.417 1
NA NA 3.922 2.187 0
8 4 3.06 3.752 1
NA NA 5.422 2.591 0
NA NA 4.33 2.758 0
NA NA 4.188 2.766 0
NA 2 4.045 4.755 1
NA NA 2.905 3.534 0
10 4 2.237 6.034 1
NA NA 5.003 3.159 0
NA 3 5.656 2.706 1
NA NA 3.87 2.249 1
2 1 4.033 2.637 0
NA NA 6.223 3.218 0
NA NA 2.893 2.978 1
NA NA 2.374 6.246 0
9 4 2.835 3.445 0
2 1 3.88 2.626 0
NA NA 2.392 2.715 0
NA 1 3.689 2.884 0
NA NA 4.006 2.998 0
NA NA 5.671 3.298 0
NA NA 2.655 3.146 1
NA NA 2.817 3.739 0
NA NA 2.683 3.301 0
NA NA 3.659 2.405 1
NA NA 5.533 2.93 0
NA NA 2.501 2.806 1
NA 4 2.762 3.751 1
NA NA 2.869 4.1 1
NA 4 3.034 3.844 0
NA NA 2.351 2.622 1
NA 2 1.734 3.621 1
NA NA 2.943 3.947 0
3 1 4.85 3.023 0
NA NA 2.617 4.818 0
NA NA 1.676 3.925 1
NA 3 5.135 2.724 0
NA 2 4.01 3.836 1
NA NA 2.668 3.07 1
NA NA 2.282 5.472 1
NA 4 2.571 3.672 1
NA NA 3.218 3.956 1
NA NA 3.67 2.636 1
NA NA 3.041 3.44 0
NA NA 4.025 2.601 0
NA NA 4.303 4.493 1
NA NA 4.399 3.665 1
NA NA 1.692 3.661 1
NA NA 2.869 3.796 0
NA NA 2.731 3.854 0
NA NA 3.019 3.573 0
NA NA 2.76 3.051 0
NA NA 3.4 2.395 0
NA 4 2.786 3.225 0
NA 4 2.16 4.886 1
NA NA 3.027 3.479 1
NA NA 5.298 3.185 1
NA NA 3.698 2.036 0
NA NA 3.857 2.805 1
NA NA 5.894 2.762 0
NA NA 2.408 3.209 1
NA NA 2.883 3.702 1
NA NA 2.614 3.657 1
NA 1 4.041 2.625 0
9 4 2.965 3.161 0
NA NA 4.232 2.423 0
NA 1 2.712 2.392 0
9 4 2.837 4.183 1
NA NA 4.367 4.021 1
NA NA 6.682 2.613 0
6 3 5.49 2.27 0
NA 2 1.866 3.421 1
NA NA 4.356 2.461 1
6 3 5.833 2.449 0
8 4 3.167 4.35 1
NA NA 2.779 3.74 0
NA NA 2.544 2.972 0
NA NA 3.928 2.912 0
NA 1 3.87 2.886 0
NA 3 3.955 2.815 0
4 2 1.623 3.716 1
NA NA 4.069 2.693 0
NA NA 3.684 2.766 0
NA NA 3.251 3.091 0
NA NA 4.327 2.487 0
1 1 2.32 2.543 0
NA NA 2.84 3.408 1
8 4 2.742 3.478 0
9 4 2.55 3.681 0
NA NA 2.284 3.613 0
NA NA 4.035 3.004 0
8 4 2.818 3.638 0
8 4 3.222 3.886 0
8 4 2.409 3.825 0
NA NA 3.654 2.502 1
NA NA 5.754 2.898 1
NA 1 4.156 2.721 0
NA NA 2.853 3.468 1
NA NA 5.103 2.456 0
NA NA 1.777 3.787 1
NA NA 5.263 2.705 0
2 1 4.08 2.509 0
NA NA 3.679 2.91 0
NA 4 3.088 3.827 1
NA NA 2.618 3.068 0
NA 1 2.676 2.165 0
NA 4 2.744 3.133 1
NA NA 3.946 2.855 1
7 3 3.746 2.463 0
NA NA 3.154 3.57 1
NA 1 3.948 2.648 0
NA NA 2.848 3.829 1
NA NA 2.895 3.228 1
3 1 5.662 2.673 0
NA NA 2.748 3.587 0
NA NA 3.388 3.936 1
NA NA 2.233 2.762 0
8 4 2.521 3.528 0
NA 3 3.866 2.32 0
NA 1 4.658 2.77 0
NA 1 4.061 2.654 0
NA 4 2.85 3.653 0
9 4 3.009 3.326 1
9 4 2.786 4.102 1
NA NA 2.849 3.38 0
NA NA 6.195 2.853 0
NA 3 3.882 2.626 1
NA NA 3.807 2.83 0
NA NA 4.767 3.782 1
NA NA 2.589 3.497 0
8 4 2.514 3.63 0
NA 2 1.732 3.153 1
NA 3 5.15 2.883 0
9 4 2.941 3.266 1
NA 4 2.792 3.954 1
NA NA 4.344 4.382 0
NA NA 3.197 2.916 0
NA 2 1.734 3.915 1
NA NA 6.302 2.88 0
NA 1 5.315 2.541 0
NA NA 2.44 5.448 0
NA 2 4.759 3.596 1
NA 1 2.611 2.922 0
NA 4 3.487 2.942 1
NA NA 2.585 3.417 0
NA NA 3.797 2.777 0
NA NA 4.408 2.622 1
NA 1 5.512 2.929 0
5 2 4.55 4.105 1
NA NA 5.068 3.55 0
NA 1 3.954 2.386 0
NA NA 2.784 3.997 1
NA NA 5.328 2.287 0
