Kaggle_Set,Kaggle_Id,Survived,Pclass,Name,Sex,Kaggle_Age,SibSp,ParCh,Ticket,Fare,Cabin,Embarked,ID_No,Age,Age_Group,Group,Class,Home_Country,English,ESC,Nat_Group,Boarded
train,20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,1415,22,20to24years,Passengers,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S,720,35,35to39years,Passengers,2nd Class,England,1,1,British,Southampton
train,22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S,170,34,30to34years,Passengers,2nd Class,England,1,1,British,Southampton
train,23,1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q,1327,16,14to19years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S,1879,28,25to29years,Passengers,1st Class,USA,0,1,American,Southampton
train,25,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S,1545,8,00to13years,Children,3rd Class,Sweden,0,0,European,Southampton
train,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S,85,38,35to39years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,382,29,25to29years,Passengers,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,691,19,14to19years,Passengers,1st Class,Canada,0,1,OES,Southampton
train,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,1496,25,25to29years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,2022,23,20to24years,Passengers,3rd Class,Bulgaria,0,0,European,Southampton
train,31,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C,2049,40,40to49years,Passengers,1st Class,Mexico,0,0,Other,Cherbourg
train,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,1917,45,40to49years,Passengers,1st Class,USA,0,1,American,Cherbourg
train,33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,753,19,14to19years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S,2134,66,50yearsplus,Passengers,2nd Class,England,1,1,British,Southampton
train,35,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C,1356,28,25to29years,Passengers,1st Class,USA,0,1,American,Cherbourg
train,36,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S,939,42,40to49years,Passengers,1st Class,USA,0,1,American,Southampton
train,37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,1263,20,20to24years,Passengers,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,38,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S,332,21,20to24years,Passengers,3rd Class,England,1,1,British,Southampton
train,39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S,2063,18,14to19years,Passengers,3rd Class,Belgium,0,0,European,Southampton
train,40,1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C,1466,14,14to19years,Passengers,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,,S,18,40,40to49years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S,2045,27,25to29years,Passengers,2nd Class,England,1,1,British,Southampton
train,43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,1133,27,25to29years,Passengers,3rd Class,Bulgaria,0,0,European,Cherbourg
train,44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,,C,1158,3,00to13years,Children,2nd Class,France,0,0,European,Cherbourg
train,45,1,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,,Q,554,19,14to19years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,1728,29,25to29years,Passengers,3rd Class,Wales,0,1,British,Southampton
train,47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,1181,20,20to24years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,1495,27,25to29years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,1790,15,14to19years,Passengers,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,,S,70,18,14to19years,Passengers,3rd Class,Switzerland,0,0,European,Southampton
train,51,0,3,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,,S,1549,7,00to13years,Children,3rd Class,Finland,0,0,European,Southampton
train,52,0,3,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,,S,1480,21,20to24years,Passengers,3rd Class,England,1,1,British,Southampton
train,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,D33,C,842,49,40to49years,Passengers,1st Class,USA,0,1,American,Cherbourg
train,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,,S,2162,35,35to39years,Passengers,2nd Class,England,1,1,British,Southampton
train,55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C,1523,64,50yearsplus,Passengers,1st Class,USA,0,1,American,Southampton
train,56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,2196,45,40to49years,Passengers,1st Class,England,1,1,British,Southampton
train,57,1,2,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,,S,1750,21,20to24years,Passengers,2nd Class,England,1,1,British,Southampton
train,58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,1474,20,20to24years,Passengers,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,59,1,2,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,,S,2132,4,00to13years,Children,2nd Class,England,1,1,British,Southampton
train,60,0,3,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,,S,773,11,00to13years,Children,3rd Class,England,1,1,British,Southampton
train,61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,,C,1855,22,20to24years,Passengers,3rd Class,Turkey,0,0,Ottoman,Cherbourg
train,62,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,,977,38,35to39years,Servants,1st Class,USA,0,1,American,Southampton
train,63,0,1,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,C83,S,851,45,40to49years,Passengers,1st Class,USA,0,1,American,Southampton
train,64,0,3,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S,1865,5,00to13years,Children,3rd Class,Sweden,0,0,European,Southampton
train,65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,1936,54,50yearsplus,Passengers,1st Class,USA,0,1,American,Cherbourg
train,66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,1410,7,00to13years,Children,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,F33,S,1483,29,25to29years,Passengers,2nd Class,USA,0,1,American,Southampton
train,68,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S,474,19,14to19years,Passengers,3rd Class,England,1,1,British,Southampton
train,69,1,3,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,,S,52,17,14to19years,Passengers,3rd Class,Finland,0,0,European,Southampton
train,70,0,3,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,,S,1116,26,25to29years,Passengers,3rd Class,Switzerland,0,0,European,Southampton
train,71,0,2,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,10.5,,S,1009,32,30to34years,Passengers,2nd Class,England,1,1,British,Southampton
train,72,0,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,,S,771,16,14to19years,Passengers,3rd Class,England,1,1,British,Southampton
train,73,0,2,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,73.5,,S,943,22,20to24years,Passengers,2nd Class,England,1,1,British,Southampton
train,74,0,3,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,,C,398,26,25to29years,Passengers,3rd Class,Greece,0,0,European,Cherbourg
train,75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,,S,195,32,30to34years,Passengers,3rd Class,China,0,0,Other,Southampton
train,76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S,1381,27,25to29years,Passengers,3rd Class,Norway,0,0,European,Southampton
train,77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,1924,23,20to24years,Passengers,3rd Class,Bulgaria,0,0,European,Southampton
train,78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,1416,28,25to29years,Passengers,3rd Class,England,1,1,British,Southampton
train,79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,,S,321,0,00to13years,Children,2nd Class,Siam,0,0,Other,Southampton
train,80,1,3,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,,S,589,31,30to34years,Passengers,3rd Class,USA,0,1,American,Southampton
train,81,0,3,"Waelens, Mr. Achille",male,22,0,0,345767,9,,S,2083,22,20to24years,Passengers,3rd Class,Belgium,0,0,European,Southampton
train,82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,,S,1810,29,25to29years,Passengers,3rd Class,Belgium,0,0,European,Southampton
train,83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,1318,31,30to34years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,84,0,1,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,S,345,31,30to34years,Passengers,1st Class,Uruguay,0,0,Other,Southampton
train,85,1,2,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,,S,979,17,14to19years,Passengers,2nd Class,England,1,1,British,Southampton
train,86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,,S,101,33,30to34years,Passengers,3rd Class,Finland,0,0,European,Southampton
train,87,0,3,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,34.375,,S,688,16,14to19years,Passengers,3rd Class,England,1,1,British,Southampton
train,88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,1878,20,20to24years,Passengers,3rd Class,England,1,1,British,Southampton
train,89,1,1,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S,693,23,20to24years,Passengers,1st Class,Canada,0,1,OES,Southampton
train,90,0,3,"Celotti, Mr. Francesco",male,24,0,0,343275,8.05,,S,369,24,20to24years,Passengers,3rd Class,Italy,0,0,European,Southampton
train,91,0,3,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,,S,394,29,25to29years,Passengers,3rd Class,England,1,1,British,Southampton
train,92,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S,58,20,20to24years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,93,0,1,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,S,372,46,40to49years,Passengers,1st Class,USA,0,1,American,Southampton
train,94,0,3,"Dean, Mr. Bertram Frank",male,26,1,2,C.A. 2315,20.575,,S,537,25,25to29years,Passengers,3rd Class,England,1,1,British,Southampton
train,95,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,,S,468,59,50yearsplus,Passengers,3rd Class,England,1,1,British,Southampton
train,96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,1840,22,20to24years,Passengers,3rd Class,England,1,1,British,Southampton
train,97,0,1,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C,760,71,50yearsplus,Passengers,1st Class,USA,0,1,American,Cherbourg
train,98,1,1,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,63.3583,D10 D12,C,789,23,20to24years,Passengers,1st Class,USA,0,1,American,Cherbourg
train,99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,23,,S,574,34,30to34years,Passengers,2nd Class,England,1,1,British,Southampton
train,100,0,2,"Kantor, Mr. Sinai",male,34,1,0,244367,26,,S,1061,34,30to34years,Passengers,2nd Class,Russia,0,0,European,Southampton
train,101,0,3,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S,1606,28,25to29years,Passengers,3rd Class,Croatia,0,0,European,Southampton
train,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,1608,29,25to29years,Passengers,3rd Class,Bulgaria,0,0,European,Southampton
train,103,0,1,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S,2145,21,20to24years,Passengers,1st Class,USA,0,1,American,Southampton
train,104,0,3,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,,S,1023,33,30to34years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,,S,799,37,35to39years,Passengers,3rd Class,Finland,0,0,European,Southampton
train,106,0,3,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,,S,1361,28,25to29years,Passengers,3rd Class,Bulgaria,0,0,European,Southampton
train,107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S,1784,21,20to24years,Passengers,3rd Class,Norway,0,0,European,Southampton
train,108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,1408,29,25to29years,Passengers,3rd Class,Norway,0,0,European,Southampton
train,109,0,3,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,,S,1678,38,35to39years,Passengers,3rd Class,Bosnia,0,0,European,Southampton
train,110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,1395,28,25to29years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,111,0,1,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,1639,46,40to49years,Passengers,1st Class,USA,0,1,American,Southampton
train,112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,990,16,14to19years,Passengers,3rd Class,Syria,0,0,Ottoman,Cherbourg
train,113,0,3,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S,143,22,20to24years,Passengers,3rd Class,England,1,1,British,Southampton
train,114,0,3,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,,S,1056,20,20to24years,Passengers,3rd Class,Finland,0,0,European,Southampton
train,115,0,3,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,,C,92,17,14to19years,Passengers,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,116,0,3,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S,1577,21,20to24years,Passengers,3rd Class,Finland,0,0,European,Southampton
train,117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q,438,28,25to29years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,118,0,2,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,,S,2046,29,25to29years,Passengers,2nd Class,England,1,1,British,Southampton
train,119,0,1,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,C,150,24,20to24years,Passengers,1st Class,Canada,0,1,OES,Cherbourg
train,120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S,51,2,00to13years,Children,3rd Class,Sweden,0,0,European,Southampton
train,121,0,2,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,,S,904,20,20to24years,Passengers,2nd Class,England,1,1,British,Southampton
train,122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,1392,19,14to19years,Passengers,3rd Class,England,1,1,British,Southampton
train,123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,1443,28,25to29years,Passengers,2nd Class,Lebanon,0,0,Ottoman,Cherbourg
train,124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S,2119,37,35to39years,Passengers,2nd Class,England,1,1,British,Southampton
train,125,0,1,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,D26,S,2144,54,50yearsplus,Passengers,1st Class,USA,0,1,American,Southampton
train,126,1,3,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C,1465,11,00to13years,Children,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,1335,20,20to24years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,128,1,3,"Madsen, Mr. Fridtjof Arne",male,24,0,0,C 17369,7.1417,,S,1250,24,20to24years,Passengers,3rd Class,Norway,0,0,European,Southampton
train,129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,1600,2,00to13years,Children,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,130,0,3,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,,S,622,45,40to49years,Passengers,3rd Class,USA,0,1,American,Southampton
train,131,0,3,"Drazenoic, Mr. Jozef",male,33,0,0,349241,7.8958,,C,592,33,30to34years,Passengers,3rd Class,Croatia,0,0,European,Cherbourg
train,132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,411,20,20to24years,Passengers,3rd Class,Portugal,0,0,European,Southampton
train,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S,1721,47,40to49years,Passengers,3rd Class,England,1,1,British,Southampton
train,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,,S,2123,37,35to39years,Passengers,2nd Class,England,1,1,British,Southampton
train,135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S,1909,25,25to29years,Passengers,2nd Class,England,1,1,British,Southampton
train,136,0,2,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,,C,1696,23,20to24years,Passengers,2nd Class,France,0,0,European,Cherbourg
train,137,1,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S,1458,19,14to19years,Passengers,1st Class,USA,0,1,American,Southampton
train,138,0,1,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,S,718,37,35to39years,Passengers,1st Class,USA,0,1,American,Southampton
train,139,0,3,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,,S,1521,16,14to19years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,140,0,1,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C,739,24,20to24years,Servants,1st Class,France,0,0,European,Cherbourg
train,141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C,233,40,40to49years,Passengers,3rd Class,Lebanon,0,0,Ottoman,Cherbourg
train,142,1,3,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,,S,1484,22,20to24years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,,S,809,24,20to24years,Passengers,3rd Class,Finland,0,0,European,Southampton
train,144,0,3,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,,Q,295,19,14to19years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,145,0,2,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,11.5,,S,59,17,14to19years,Passengers,2nd Class,Argentina,0,0,Other,Southampton
train,146,0,2,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,,S,1459,19,14to19years,Passengers,2nd Class,England,1,1,British,Southampton
train,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,,S,2129,27,25to29years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,,S,686,7,00to13years,Children,3rd Class,England,1,1,British,Southampton
train,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,F2,S,1448,32,30to34years,Passengers,2nd Class,France,0,0,European,Southampton
train,150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,,S,310,42,40to49years,Passengers,2nd Class,England,1,1,British,Southampton
train,151,0,2,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,,S,146,51,50yearsplus,Passengers,2nd Class,USA,0,1,American,Southampton
train,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S,1572,22,20to24years,Passengers,1st Class,England,1,1,British,Southampton
train,153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,1353,48,40to49years,Passengers,3rd Class,England,1,1,British,Southampton
train,154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,2051,35,35to39years,Passengers,3rd Class,England,1,1,British,Southampton
train,155,0,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S,1509,27,25to29years,Passengers,3rd Class,Norway,0,0,European,Southampton
train,156,0,1,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,,C,2167,51,50yearsplus,Passengers,1st Class,Switzerland,0,0,European,Cherbourg
train,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q,751,17,14to19years,Passengers,3rd Class,Ireland,0,1,Irish,Queenstown
train,158,0,3,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,,S,454,30,30to34years,Passengers,3rd Class,England,1,1,British,Southampton
train,159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,1882,37,35to39years,Passengers,3rd Class,Croatia,0,0,European,Southampton
train,160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,1781,4,00to13years,Children,3rd Class,England,1,1,British,Southampton
train,161,0,3,"Cribb, Mr. John Hatfield",male,44,0,1,371362,16.1,,S,476,44,40to49years,Passengers,3rd Class,England,1,1,British,Southampton
train,162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,,S,2110,40,40to49years,Passengers,2nd Class,Scotland,0,1,British,Southampton
train,163,0,3,"Bengtsson, Mr. John Viktor",male,26,0,0,347068,7.775,,S,174,26,25to29years,Passengers,3rd Class,Sweden,0,0,European,Southampton
train,164,0,3,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,,S,323,17,14to19years,Passengers,3rd Class,Croatia,0,0,European,Southampton
train,165,0,3,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,,S,1546,1,00to13years,Children,3rd Class,Finland,0,0,European,Southampton
