Israel,ISR,2.90551E+11
Italy,ITA,2.14948E+12
Jamaica,JAM,14362262585
Jordan,JOR,33678500148
Japan,JPN,4.91956E+12
Kazakhstan,KAZ,2.31876E+11
Kenya,KEN,55243056201
Kyrgyz Republic,KGZ,7226303261
Cambodia,KHM,15238689686
Kiribati,KIR,168951535
St. Kitts and Nevis,KNA,765870666.7
"Korea, Rep.",KOR,1.30455E+12
Kosovo,,7071959241
Kuwait,KWT,1.75831E+11
Latin America & Caribbean (developing only),LAC,5.65737E+12
Lao PDR,LAO,11242526454
Lebanon,LBN,44352418120
Liberia,LBR,1950960138
Libya,LBY,74199528672
St. Lucia,LCA,1335764111
Latin America & Caribbean (all income levels),LCN,6.15828E+12
Least developed countries: UN classification,LDC,8.04442E+11
Low income,LIC,6.1271E+11
Liechtenstein,LIE,
Sri Lanka,LKA,67182015336
Lower middle income,LMC,5.23409E+12
Low & middle income,LMY,2.45477E+13
Lesotho,LSO,2334989648
Lithuania,LTU,45931968474
Luxembourg,LUX,60130847624
Latvia,LVA,30956691628
"Macao SAR, China",MAC,51753094764
St. Martin (French part),MAF,
Morocco,MAR,1.03836E+11
Monaco,MCO,
Moldova,MDA,7969618966
Madagascar,MDG,10613494031
Maldives,MDV,2299843167
Middle East & North Africa (all income levels),MEA,3.44235E+12
Mexico,MEX,1.26091E+12
Marshall Islands,MHL,190914600
Middle income,MIC,2.3926E+13
"Macedonia, FYR",MKD,10195404131
Mali,MLI,10942727310
Malta,MLT,9642326075
Myanmar,MMR,
Middle East & North Africa (developing only),MNA,1.49567E+12
Montenegro,MNE,4416083090
Mongolia,MNG,11516409581
Northern Mariana Islands,MNP,
Mozambique,MOZ,15630302814
Mauritania,MRT,4158182904
Mauritius,MUS,11929250814
Malawi,MWI,3705386790
Malaysia,MYS,3.13159E+11
North America,NAC,1.86005E+13
Namibia,NAM,13113069777
New Caledonia,NCL,
Niger,NER,7407418428
Nigeria,NGA,5.21803E+11
Nicaragua,NIC,11255608410
Netherlands,NLD,8.53539E+11
High income: nonOECD,NOC,5.36874E+12
Norway,NOR,5.1258E+11
Nepal,NPL,19294348174
New Zealand,NZL,1.85788E+11
High income: OECD,OEC,4.57605E+13
OECD members,OED,4.79769E+13
Oman,OMN,79655917417
Other small states,OSS,98229548568
Pakistan,PAK,2.32287E+11
Panama,PAN,42648100000
Peru,PER,2.0235E+11
Philippines,PHL,2.72067E+11
Palau,PLW,247043400
Papua New Guinea,PNG,15289374025
Poland,POL,5.25866E+11
Puerto Rico,PRI,1.03135E+11
"Korea, Dem. Rep.",PRK,
Portugal,PRT,2.27324E+11
Paraguay,PRY,29009411738
Pacific island small states,PSS,8009303951
French Polynesia,PYF,
Qatar,QAT,2.03235E+11
Romania,ROU,1.89638E+11
Russian Federation,RUS,2.09678E+12
Rwanda,RWA,7521261791
South Asia,SAS,2.36994E+12
Saudi Arabia,SAU,7.4845E+11
Sudan,SDN,66565889417
Senegal,SEN,14791699009
Singapore,SGP,2.97941E+11
Solomon Islands,SLB,1096396927
Sierra Leone,SLE,4136280752
El Salvador,SLV,24259100000
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,45519650911
Sub-Saharan Africa (developing only),SSA,1.61286E+12
South Sudan,SSD,11804406780
Sub-Saharan Africa (all income levels),SSF,1.6286E+12
Small states,SST,1.7327E+11
Sao Tome and Principe,STP,310684635.7
Suriname,SUR,5298787879
Slovak Republic,SVK,97707323420
Slovenia,SVN,47987303638
Sweden,SWE,5.7968E+11
Swaziland,SWZ,3791304348
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1443345214
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,13513552425
Togo,TGO,4338575824
Thailand,THA,3.87252E+11
Tajikistan,TJK,8508103456
Turkmenistan,TKM,41850877193
Timor-Leste,TLS,
Tonga,TON,466259084.1
Trinidad and Tobago,TTO,24640839008
Tunisia,TUN,46993598818
Turkey,TUR,8.22135E+11
Tuvalu,TUV,38322359.53
Tanzania,TZA,33225037490
Uganda,UGA,21493615478
Ukraine,UKR,1.77431E+11
Upper middle income,UMC,1.86874E+13
Uruguay,URY,55707944622
United States,USA,1.67681E+13
Uzbekistan,UZB,56795656325
St. Vincent and the Grenadines,VCT,709358185.2
"Venezuela, RB",VEN,4.38284E+11
Virgin Islands (U.S.),VIR,
Vietnam,VNM,1.7139E+11
Vanuatu,VUT,828237181.1
West Bank and Gaza,PSE,
World,WLD,7.55929E+13
Samoa,WSM,801916057.6
"Yemen, Rep.",YEM,35954502304
South Africa,ZAF,3.5063E+11
"Congo, Dem. Rep.",COD,32690896873
Zambia,ZMB,26820870559
Zimbabwe,ZWE,13490000000
