ID.No	Survived	Sex	Cabin	Age
2021	0	male	third	20
2028	0	male	third	20
2074	0	male	third	20
10	1	male	third	20
1204	1	male	third	20
1264	1	male	third	20
1437	1	male	third	20
1959	1	male	third	20
831	1	female	first	21
1222	1	female	first	21
1762	1	female	first	21
2163	1	female	first	21
1617	1	female	second	21
1750	1	female	second	21
315	0	female	third	21
578	0	female	third	21
838	0	female	third	21
1057	0	female	third	21
1423	0	female	third	21
1447	0	female	third	21
1526	0	female	third	21
1249	1	female	third	21
1420	1	female	third	21
1784	1	female	third	21
2146	0	male	first	21
2172	1	male	first	21
516	0	male	second	21
630	0	male	second	21
742	0	male	second	21
86	0	male	third	21
198	0	male	third	21
330	0	male	third	21
333	0	male	third	21
522	0	male	third	21
724	0	male	third	21
733	0	male	third	21
828	0	male	third	21
1003	0	male	third	21
1059	0	male	third	21
1207	0	male	third	21
1220	0	male	third	21
1374	0	male	third	21
1470	0	male	third	21
1481	0	male	third	21
1489	0	male	third	21
1562	0	male	third	21
1578	0	male	third	21
1684	0	male	third	21
1859	0	male	third	21
1927	0	male	third	21
2082	0	male	third	21
2158	0	male	third	21
2181	0	male	third	21
286	1	male	third	21
1002	1	male	third	21
1063	1	male	third	21
1361	1	male	third	21
1499	1	male	third	21
1796	1	male	third	21
240	1	female	first	22
406	1	female	first	22
711	1	female	first	22
736	1	female	first	22
1525	1	female	first	22
1573	1	female	first	22
1581	1	female	first	22
442	1	female	second	22
1157	1	female	second	22
288	0	female	third	22
329	0	female	third	22
498	0	female	third	22
668	0	female	third	22
1118	0	female	third	22
1707	0	female	third	22
1945	0	female	third	22
246	1	female	third	22
609	1	female	third	22
887	1	female	third	22
917	1	female	third	22
1087	1	female	third	22
1152	1	female	third	22
1327	1	female	third	22
1416	1	female	third	22
1485	1	female	third	22
1498	1	female	third	22
1565	0	male	first	22
1705	0	male	first	22
944	0	male	second	22
1007	0	male	second	22
1531	1	male	second	22
143	0	male	third	22
180	0	male	third	22
255	0	male	third	22
268	0	male	third	22
518	0	male	third	22
549	0	male	third	22
583	0	male	third	22
679	0	male	third	22
746	0	male	third	22
948	0	male	third	22
1022	0	male	third	22
1065	0	male	third	22
1106	0	male	third	22
1107	0	male	third	22
1162	0	male	third	22
1252	0	male	third	22
1348	0	male	third	22
1425	0	male	third	22
1433	0	male	third	22
1452	0	male	third	22
1589	0	male	third	22
1806	0	male	third	22
1840	0	male	third	22
1855	0	male	third	22
2023	0	male	third	22
2083	0	male	third	22
2213	0	male	third	22
1170	1	male	third	22
2068	1	male	third	22
612	1	female	first	23
693	1	female	first	23
1457	1	female	first	23
1908	1	female	first	23
819	1	female	second	23
1016	1	female	second	23
1236	1	female	second	23
886	0	female	third	23
893	0	female	third	23
1516	0	female	third	23
436	1	female	third	23
1380	1	female	third	23
787	1	male	first	23
60	0	male	second	23
114	0	male	second	23
182	0	male	second	23
620	0	male	second	23
923	0	male	second	23
1536	0	male	second	23
1696	0	male	second	23
2036	0	male	second	23
2101	0	male	second	23
2168	1	male	second	23
24	0	male	third	23
88	0	male	third	23
94	0	male	third	23
608	0	male	third	23
794	0	male	third	23
1045	0	male	third	23
1072	0	male	third	23
1147	0	male	third	23
1151	0	male	third	23
1272	0	male	third	23
1363	0	male	third	23
1379	0	male	third	23
1493	0	male	third	23
1495	0	male	third	23
1913	0	male	third	23
1924	0	male	third	23
2022	0	male	third	23
2060	0	male	third	23
83	1	male	third	23
93	1	female	first	24
690	1	female	first	24
875	1	female	first	24
1299	1	female	first	24
1780	1	female	first	24
2212	0	female	second	24
544	1	female	second	24
895	1	female	second	24
897	1	female	second	24
993	1	female	second	24
1060	1	female	second	24
1263	1	female	second	24
1697	1	female	second	24
590	0	female	third	24
804	0	female	third	24
104	1	female	third	24
596	1	female	third	24
809	1	female	third	24
1306	1	female	third	24
1413	1	female	third	24
1602	1	female	third	24
1792	1	female	third	24
1926	1	female	third	24
150	0	male	first	24
199	0	male	first	24
739	0	male	first	24
1582	0	male	first	24
1895	0	male	first	24
1907	1	male	first	24
745	0	male	second	24
748	0	male	second	24
903	0	male	second	24
1006	0	male	second	24
2136	0	male	second	24
26	0	male	third	24
71	0	male	third	24
340	0	male	third	24
369	0	male	third	24
414	0	male	third	24
415	0	male	third	24
515	0	male	third	24
1194	0	male	third	24
1373	0	male	third	24
1577	0	male	third	24
1604	0	male	third	24
1634	0	male	third	24
1783	0	male	third	24
1828	0	male	third	24
1965	0	male	third	24
882	1	male	third	24
1092	1	male	third	24
1251	1	male	third	24
1315	1	male	third	24
1755	1	male	third	24
36	0	female	first	25
366	1	female	first	25
1358	1	female	first	25
397	1	female	second	25
1835	1	female	second	25
982	0	female	third	25
1199	0	female	third	25
1424	1	female	third	25
1429	1	female	third	25
1497	1	female	third	25
200	1	male	first	25
832	1	male	first	25
228	0	male	second	25
285	0	male	second	25
305	0	male	second	25
547	0	male	second	25
1156	0	male	second	25
1193	0	male	second	25
1260	0	male	second	25
1817	0	male	second	25
1909	0	male	second	25
1939	0	male	second	25
421	1	male	second	25
27	0	male	third	25
69	0	male	third	25
511	0	male	third	25
535	0	male	third	25
543	0	male	third	25
647	0	male	third	25
1101	0	male	third	25
1105	0	male	third	25
1214	0	male	third	25
1270	0	male	third	25
1580	0	male	third	25
1611	0	male	third	25
1765	0	male	third	25
1961	0	male	third	25
2113	0	male	third	25
7	1	male	third	25
1135	1	male	third	25
1599	1	male	third	25
1989	1	male	third	25
2029	1	male	third	25
125	1	female	first	26
403	1	female	first	26
1142	0	female	second	26
2037	1	female	second	26
2201	1	female	second	26
142	0	female	third	26
1217	0	female	third	26
1567	0	female	third	26
1605	0	female	third	26
884	1	female	third	26
1015	1	female	third	26
1030	1	female	third	26
1116	1	female	third	26
1314	1	female	third	26
1472	1	female	third	26
1487	1	female	third	26
1739	1	female	third	26
171	1	male	first	26
728	0	male	second	26
1453	0	male	second	26
1811	0	male	second	26
1966	0	male	second	26
320	1	male	second	26
1534	1	male	second	26
14	0	male	third	26
55	0	male	third	26
64	0	male	third	26
116	0	male	third	26
174	0	male	third	26
226	0	male	third	26
237	0	male	third	26
398	0	male	third	26
550	0	male	third	26
827	0	male	third	26
1119	0	male	third	26
1138	0	male	third	26
1355	0	male	third	26
1902	0	male	third	26
22	1	male	third	26
1026	1	male	third	26
1155	1	male	third	26
513	1	female	first	27
586	1	female	first	27
1185	1	female	first	27
2045	0	female	second	27
604	1	female	second	27
2038	1	female	second	27
981	0	female	third	27
1343	0	female	third	27
943	1	female	third	27
956	1	female	third	27
1496	1	female	third	27
2032	1	female	third	27
404	0	male	first	27
2155	0	male	first	27
374	1	male	first	27
507	1	male	first	27
867	1	male	first	27
420	0	male	second	27
1385	0	male	second	27
1656	0	male	second	27
1827	0	male	second	27
452	0	male	third	27
510	0	male	third	27
734	0	male	third	27
1047	0	male	third	27
1134	0	male	third	27
1211	0	male	third	27
1342	0	male	third	27
1382	0	male	third	27
1397	0	male	third	27
1488	0	male	third	27
1510	0	male	third	27
1629	0	male	third	27
1663	0	male	third	27
1950	0	male	third	27
2183	0	male	third	27
2205	0	male	third	27
2214	0	male	third	27
823	1	male	third	27
881	1	male	third	27
2129	1	male	third	27
692	1	female	first	28
378	0	female	second	28
1066	0	female	second	28
8	1	female	second	28
322	1	female	second	28
400	1	female	second	28
526	1	female	second	28
1683	1	female	second	28
504	0	female	third	28
892	0	female	third	28
1607	0	female	third	28
1267	1	female	third	28
1396	1	female	third	28
317	0	male	first	28
1357	0	male	first	28
204	1	male	first	28
1271	1	male	first	28
1879	1	male	first	28
119	0	male	second	28
159	0	male	second	28
1444	0	male	second	28
1477	0	male	second	28
1553	0	male	second	28
2122	0	male	second	28
334	0	male	third	28
339	0	male	third	28
355	0	male	third	28
438	0	male	third	28
497	0	male	third	28
671	0	male	third	28
698	0	male	third	28
800	0	male	third	28
806	0	male	third	28
810	0	male	third	28
860	0	male	third	28
889	0	male	third	28
939	0	male	third	28
1210	0	male	third	28
1362	0	male	third	28
1417	0	male	third	28
1469	0	male	third	28
1508	0	male	third	28
1512	0	male	third	28
1575	0	male	third	28
2055	0	male	third	28
2066	0	male	third	28
2169	0	male	third	28
2171	0	male	third	28
2211	0	male	third	28
30	1	female	first	29
1136	1	female	first	29
933	1	female	second	29
1484	1	female	second	29
2126	1	female	second	29
1468	0	female	third	29
1542	0	female	third	29
1951	0	female	third	29
879	1	female	third	29
1313	1	female	third	29
1387	1	female	third	29
1223	0	male	first	29
1574	0	male	first	29
1515	1	male	first	29
245	0	male	second	29
401	0	male	second	29
418	0	male	second	29
542	0	male	second	29
2046	0	male	second	29
1540	1	male	second	29
254	0	male	third	29
382	0	male	third	29
394	0	male	third	29
624	0	male	third	29
723	0	male	third	29
1025	0	male	third	29
1160	0	male	third	29
1161	0	male	third	29
1259	0	male	third	29
1609	0	male	third	29
1728	0	male	third	29
1756	0	male	third	29
2217	0	male	third	29
501	1	male	third	29
998	1	male	third	29
1020	1	male	third	29
1115	1	male	third	29
1234	1	male	third	29
1409	1	male	third	29
1810	1	male	third	29
222	1	female	first	30
384	1	female	first	30
1823	1	female	first	30
449	0	female	second	30
451	0	female	second	30
603	1	female	second	30
1679	1	female	second	30
1854	1	female	second	30
1871	1	female	second	30
316	0	female	third	30
1203	0	female	third	30
2059	0	female	third	30
502	1	female	third	30
38	0	male	first	30
689	0	male	first	30
1226	0	male	first	30
1253	0	male	first	30
1381	1	male	first	30
9	0	male	second	30
23	0	male	second	30
752	0	male	second	30
811	0	male	second	30
856	0	male	second	30
904	0	male	second	30
1150	0	male	second	30
1266	0	male	second	30
1291	0	male	second	30
1317	0	male	second	30
1638	1	male	second	30
13	0	male	third	30
92	0	male	third	30
456	0	male	third	30
548	0	male	third	30
1062	0	male	third	30
1141	0	male	third	30
1218	0	male	third	30
1240	0	male	third	30
1290	0	male	third	30
1408	0	male	third	30
1671	0	male	third	30
1764	0	male	third	30
2103	0	male	third	30
532	1	male	third	30
197	1	female	first	31
701	1	female	first	31
959	1	female	first	31
1096	1	female	first	31
1456	1	female	first	31
2151	1	female	first	31
2178	1	female	first	31
425	1	female	second	31
1180	1	female	second	31
2097	1	female	second	31
1349	0	female	third	31
1511	0	female	third	31
2063	0	female	third	31
122	1	female	third	31
589	1	female	third	31
761	1	female	third	31
1319	1	female	third	31
343	0	male	first	31
514	0	male	first	31
1192	0	male	first	31
1724	0	male	first	31
557	1	male	first	31
2039	1	male	first	31
426	0	male	second	31
1139	0	male	second	31
1261	0	male	second	31
1356	0	male	second	31
433	0	male	third	31
434	0	male	third	31
437	0	male	third	31
1024	0	male	third	31
1911	0	male	third	31
2003	0	male	third	31
2064	0	male	third	31
1946	1	male	third	31
373	1	female	first	32
1625	1	female	second	32
234	0	female	third	32
1265	0	female	third	32
538	1	female	third	32
2014	1	female	third	32
1922	1	male	first	32
66	0	male	second	32
267	0	male	second	32
1009	0	male	second	32
1316	0	male	second	32
1449	0	male	second	32
154	1	male	second	32
2160	1	male	second	32
100	0	male	third	32
528	0	male	third	32
579	0	male	third	32
792	0	male	third	32
980	0	male	third	32
1179	0	male	third	32
1440	0	male	third	32
1564	0	male	third	32
1570	0	male	third	32
1919	0	male	third	32
2019	0	male	third	32
195	1	male	third	32
388	1	male	third	32
678	1	male	third	32
1046	1	male	third	32
1055	1	male	third	32
1237	1	male	third	32
1513	1	male	third	32
1624	1	male	third	32
508	1	female	first	33
1186	1	female	first	33
1370	1	female	first	33
1594	1	female	first	33
1660	1	female	second	33
2130	1	female	second	33
101	1	female	third	33
341	0	male	first	33
1080	0	male	first	33
722	0	male	second	33
968	0	male	second	33
1680	0	male	second	33
43	0	male	third	33
592	0	male	third	33
762	0	male	third	33
976	0	male	third	33
1023	0	male	third	33
1032	0	male	third	33
1064	0	male	third	33
1275	0	male	third	33
1804	0	male	third	33
1925	0	male	third	33
569	1	female	first	34
1735	1	female	first	34
574	1	female	second	34
594	1	female	second	34
725	1	female	second	34
1181	1	female	second	34
1036	0	female	third	34
527	1	female	third	34
1430	1	female	third	34
1825	1	male	first	34
747	0	male	second	34
1061	0	male	second	34
1636	0	male	second	34
170	1	male	second	34
505	0	male	third	34
1021	0	male	third	34
1256	0	male	third	34
1404	0	male	third	34
1439	0	male	third	34
1999	0	male	third	34
2004	0	male	third	34
2098	0	male	third	34
660	1	male	third	34
975	1	male	third	34
491	1	female	first	35
719	1	female	first	35
738	1	female	first	35
852	1	female	first	35
941	1	female	first	35
1809	1	female	first	35
162	1	female	second	35
326	1	female	second	35
2162	1	female	second	35
435	0	female	third	35
1415	1	female	third	35
1188	1	male	first	35
1326	1	male	first	35
1844	1	male	first	35
720	0	male	second	35
1073	0	male	second	35
1143	0	male	second	35
1872	0	male	second	35
35	0	male	third	35
76	0	male	third	35
269	0	male	third	35
447	0	male	third	35
824	0	male	third	35
1034	0	male	third	35
1273	0	male	third	35
1709	0	male	third	35
2051	0	male	third	35
2054	0	male	third	35
638	0	female	first	36
152	1	female	first	36
350	1	female	first	36
359	1	female	first	36
381	1	female	first	36
2209	1	female	first	36
65	1	female	second	36
117	1	female	second	36
304	1	female	second	36
2086	1	female	second	36
1127	0	female	third	36
466	1	female	third	36
546	1	female	third	36
157	0	male	first	36
367	0	male	first	36
1446	0	male	first	36
1529	0	male	first	36
1738	0	male	first	36
338	1	male	first	36
352	1	male	first	36
673	1	male	first	36
1685	1	male	first	36
376	0	male	second	36
924	0	male	second	36
1190	0	male	second	36
1297	0	male	second	36
1676	0	male	second	36
2133	0	male	second	36
428	0	male	third	36
1183	0	male	third	36
1202	0	male	third	36
2008	0	male	third	36
2015	0	male	third	36
2040	0	male	third	36
2067	0	male	third	36
2187	0	male	third	36
531	1	male	third	36
1371	1	female	first	37
2118	1	female	second	37
2123	1	female	second	37
1145	0	female	third	37
422	0	male	first	37
430	0	male	first	37
703	0	male	first	37
718	0	male	first	37
843	0	male	first	37
165	1	male	first	37
256	1	male	first	37
634	0	male	third	37
799	0	male	third	37
1882	0	male	third	37
2164	0	male	third	37
977	1	female	first	38
2013	1	female	first	38
2090	1	female	first	38
717	0	female	second	38
53	0	female	third	38
85	1	female	third	38
732	1	female	third	38
782	0	male	first	38
1681	0	male	first	38
1731	0	male	first	38
958	1	male	first	38
699	0	male	second	38
721	0	male	second	38
1403	0	male	second	38
1528	0	male	second	38
314	0	male	third	38
645	0	male	third	38
1678	0	male	third	38
1148	1	male	third	38
185	1	female	first	39
432	1	female	first	39
483	1	female	first	39
631	1	female	first	39
1501	1	female	first	39
1845	1	female	first	39
1915	1	female	first	39
1976	1	female	first	39
1997	1	female	first	39
1896	1	female	second	39
48	0	female	third	39
1694	0	female	third	39
4	1	female	third	39
492	0	male	first	39
600	0	male	first	39
716	0	male	first	39
213	1	male	first	39
841	0	male	second	39
1592	0	male	second	39
49	0	male	third	39
642	0	male	third	39
1048	0	male	third	39
1077	0	male	third	39
1187	0	male	third	39
1786	0	male	third	39
1849	0	male	third	39
1067	1	male	third	39
1474	1	male	third	39
756	1	female	first	40
1841	1	female	first	40
278	1	female	second	40
2110	1	female	second	40
17	0	female	third	40
233	0	female	third	40
236	0	female	third	40
1172	0	female	third	40
409	0	male	first	40
1560	0	male	first	40
2049	0	male	first	40
942	1	male	first	40
651	0	male	second	40
994	0	male	second	40
2070	0	male	second	40
79	0	male	third	40
107	0	male	third	40
789	0	male	third	40
1789	0	male	third	40
1857	0	male	third	40
1869	0	male	third	40
298	1	female	first	41
1350	1	female	second	41
1551	0	female	third	41
1732	0	female	third	41
250	0	male	first	41
1095	0	male	first	41
1600	0	male	second	41
952	1	male	second	41
764	0	male	third	41
826	0	male	third	41
1473	0	male	third	41
669	1	female	first	42
706	1	female	first	42
312	1	female	second	42
1227	1	female	second	42
1329	0	female	third	42
225	0	male	first	42
878	0	male	first	42
940	0	male	first	42
960	0	male	first	42
1201	0	male	first	42
1713	0	male	first	42
318	1	male	first	42
1108	1	male	first	42
239	0	male	second	42
310	0	male	second	42
593	0	male	second	42
1618	0	male	second	42
1928	0	male	second	42
1	0	male	third	42
235	0	male	third	42
563	0	male	third	42
672	0	male	third	42
768	0	male	third	42
962	0	male	third	42
1509	0	male	third	42
1816	0	male	third	42
1870	0	male	third	42
1714	1	female	first	43
766	0	female	third	43
1864	0	female	third	43
1898	0	male	first	43
708	1	male	first	43
1785	1	male	first	43
441	0	male	third	43
565	0	male	third	43
938	0	male	third	43
1770	0	male	third	43
281	1	female	first	44
737	1	female	first	44
915	1	female	first	44
1933	1	female	first	44
1771	0	female	third	44
907	0	male	first	44
1125	0	male	first	44
1372	0	male	first	44
830	0	male	second	44
934	0	male	second	44
476	0	male	third	44
1086	0	male	third	44
1241	0	male	third	44
1779	0	male	third	44
2027	0	male	third	44
1960	1	male	third	44
238	1	female	first	45
786	1	female	first	45
1109	1	female	first	45
1917	1	female	first	45
2150	1	female	first	45
349	0	female	second	45
396	1	female	second	45
1083	1	female	second	45
123	0	female	third	45
345	0	female	third	45
1200	0	female	third	45
87	1	female	third	45
829	1	female	third	45
208	0	male	first	45
257	0	male	first	45
851	0	male	first	45
855	0	male	first	45
386	1	male	first	45
872	1	male	first	45
1729	1	male	first	45
1914	1	male	first	45
2196	1	male	first	45
2100	0	male	second	45
622	0	male	third	45
2210	0	male	third	45
499	1	male	third	45
166	1	female	first	46
191	1	female	first	46
1969	1	female	first	46
1074	1	female	second	46
306	0	male	first	46
372	0	male	first	46
795	0	male	first	46
1041	0	male	first	46
1305	0	male	first	46
1639	0	male	first	46
1736	0	male	first	46
1741	0	male	first	46
1334	0	male	second	46
2061	0	male	third	46
371	1	female	first	47
1721	0	female	third	47
2161	1	female	third	47
89	0	male	first	47
730	0	male	first	47
1389	0	male	first	47
45	1	male	first	47
129	1	male	first	47
757	1	male	first	47
1766	1	male	first	47
741	0	male	second	47
857	0	male	second	47
1004	0	male	second	47
628	0	male	third	47
387	1	female	first	48
585	1	female	first	48
598	1	female	first	48
667	1	female	first	48
712	1	female	first	48
1760	1	female	first	48
517	1	female	second	48
858	1	female	second	48
896	1	female	second	48
2025	1	female	second	48
685	0	female	third	48
253	0	male	first	48
1149	0	male	first	48
2085	0	male	first	48
840	1	male	first	48
1979	1	male	first	48
1368	0	male	second	48
1013	0	male	third	48
1354	0	male	third	48
842	1	female	first	49
1166	1	female	first	49
1984	1	female	first	49
357	0	male	first	49
1995	0	male	first	49
597	1	male	first	49
707	1	male	first	49
988	1	male	first	49
898	0	male	second	49
1028	0	male	third	49
1730	0	male	third	49
987	0	female	first	50
149	1	female	first	50
1208	1	female	first	50
2153	1	female	first	50
1704	1	female	second	50
587	0	male	first	50
1053	0	male	first	50
1846	0	male	first	50
2154	0	male	first	50
926	0	male	second	50
1228	0	male	second	50
1720	0	male	third	50
929	1	female	first	51
2167	0	male	first	51
503	1	male	first	51
146	0	male	second	51
1235	0	male	third	51
1943	0	male	third	51
2152	0	male	third	51
331	1	female	first	52
874	1	female	first	52
1935	1	female	first	52
1974	0	male	first	52
570	1	male	first	52
1613	1	male	first	52
375	0	male	second	52
785	0	male	second	52
1123	0	male	second	52
67	1	female	first	53
779	1	male	first	53
1744	0	male	third	53
636	1	female	first	54
1740	1	female	first	54
921	1	female	second	54
1308	0	male	first	54
1936	0	male	first	54
2145	0	male	first	54
1934	1	male	first	54
347	0	male	second	54
1398	0	male	second	54
2184	0	male	third	54
455	1	female	first	55
1206	1	female	first	55
2140	1	female	first	55
873	0	male	first	55
914	0	male	first	55
1383	0	male	first	55
588	0	male	second	55
1834	0	male	third	55
1642	1	female	first	56
901	1	female	second	56
1881	0	male	first	56
1892	0	male	first	56
1851	1	male	first	56
1248	0	female	second	57
649	0	male	first	57
1918	0	male	first	57
2149	0	male	first	57
73	0	male	second	57
337	1	female	first	58
1711	0	female	third	58
1094	0	male	first	58
1455	0	male	first	58
275	1	female	first	59
289	1	female	first	59
781	1	female	first	59
1238	1	female	first	59
1555	1	female	second	59
472	0	male	first	59
1746	0	male	first	59
2121	0	male	first	59
1861	0	male	second	59
467	0	male	third	59
695	1	female	first	60
2102	1	female	first	60
955	0	female	second	60
147	0	male	first	60
713	1	male	first	60
282	0	male	second	60
1486	0	male	third	60
223	1	female	first	61
1758	0	male	first	61
1962	0	male	first	61
2057	0	male	first	61
1212	0	male	second	61
62	1	female	first	62
1942	1	female	first	62
1930	0	male	first	62
2200	0	male	first	62
850	1	male	second	62
1948	0	female	first	63
1347	0	female	third	63
1667	0	female	third	63
2042	1	female	third	63
2104	0	male	first	63
954	0	male	second	63
1432	0	male	second	63
431	1	female	first	64
481	1	female	first	64
694	0	male	first	64
1464	0	male	first	64
1524	0	male	first	64
1367	0	male	first	65
605	0	male	third	65
2134	0	male	second	66
2117	0	male	third	66
1947	0	male	first	67
1712	0	male	third	69
482	0	male	first	70
72	0	male	first	71
760	0	male	first	71
1377	0	male	second	71
1963	0	male	third	74
